"move_id","move_name","type","category","source_animation_evidence","ds_animation_class","ds_animation_path","port_action","notes"
"ACHILLESHEEL","Achilles Heel","Normal","Physical","The audited Insurgence-Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"ANCIENTROAR","Ancient Roar","Rock","Special","The audited Insurgence-Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"CORRODE","Corrode","Poison","Special","The audited Insurgence-Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"CRYSTALRUSH","Crystal Rush","Crystal","Physical","The audited Insurgence-Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"DARKMATTER","Dark Matter","Dark","Special","The audited Insurgence-Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"DRACOJET","Draco Jet","Dragon","Physical","The audited Insurgence-Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"DRAGONIFY","Dragonify","Dragon","Status","The audited Insurgence-Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"DRAKONVOICE","Drakon Voice","Dragon","Special","The audited Insurgence-Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"JETSTREAM","Jet Stream","Dragon","Status","The audited Insurgence-Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"LIVEWIRE","Livewire","Electric","Status","The audited Insurgence-Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"LUNARCANNON","Lunar Cannon","Dark","Special","The audited Insurgence-Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"MEDUSARAY","Medusa Ray","Rock","Status","The audited Insurgence-Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"MORPH","Morph","Normal","Status","The audited Insurgence-Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
