move_id,move_constant,generation,effect_id,effect_constant,effect_script,upstream_flag_unimplemented,source_commit
471,MOVE_HONE_CLAWS,Gen 5,277,MOVE_EFFECT_ATK_ACC_UP,mechanics/hg-engine/effects/effect_script_0277_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
472,MOVE_WIDE_GUARD,Gen 5,371,MOVE_EFFECT_PROTECT_USER_SIDE,mechanics/hg-engine/effects/effect_script_0371_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
473,MOVE_GUARD_SPLIT,Gen 5,278,MOVE_EFFECT_GUARD_SPLIT,mechanics/hg-engine/effects/effect_script_0278_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
474,MOVE_POWER_SPLIT,Gen 5,279,MOVE_EFFECT_POWER_SPLIT,mechanics/hg-engine/effects/effect_script_0279_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
475,MOVE_WONDER_ROOM,Gen 5,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,yes,398a3020943f1ae98987e5b12b73d9086bbba3ce
476,MOVE_PSYSHOCK,Gen 5,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
477,MOVE_VENOSHOCK,Gen 5,280,MOVE_EFFECT_DOUBLE_POWER_ON_POISONED,mechanics/hg-engine/effects/effect_script_0280_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
478,MOVE_AUTOTOMIZE,Gen 5,281,MOVE_EFFECT_AUTOTOMIZE,mechanics/hg-engine/effects/effect_script_0281_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
479,MOVE_RAGE_POWDER,Gen 5,172,MOVE_EFFECT_MAKE_GLOBAL_TARGET,mechanics/hg-engine/effects/effect_script_0172_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
480,MOVE_TELEKINESIS,Gen 5,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,yes,398a3020943f1ae98987e5b12b73d9086bbba3ce
481,MOVE_MAGIC_ROOM,Gen 5,407,MOVE_EFFECT_MAGIC_ROOM,mechanics/hg-engine/effects/effect_script_0407_*.s,yes,398a3020943f1ae98987e5b12b73d9086bbba3ce
482,MOVE_SMACK_DOWN,Gen 5,406,MOVE_EFFECT_SMACK_DOWN,mechanics/hg-engine/effects/effect_script_0406_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
483,MOVE_STORM_THROW,Gen 5,282,MOVE_EFFECT_ALWAYS_CRITICAL,mechanics/hg-engine/effects/effect_script_0282_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
484,MOVE_FLAME_BURST,Gen 5,0,MOVE_EFFECT_HIT,mechanics/hg-engine/effects/effect_script_0000_*.s,no,398a3020943f1ae98987e5b12b73d9086bbba3ce
