"move_id","move_name","type","category","source_animation_evidence","ds_animation_class","ds_animation_path","port_action","notes"
"SLEAZYSPORES","Sleazy Spores","Grass","Status","The audited Clovermon Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"SLIMEGULP","Slime Gulp","Poison","Physical","The audited Clovermon Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"FRUITPUNCH","Fruit Punch","Fairy","Physical","The audited Clovermon Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"DRAGONFIST","Dragon Fist","Dragon","Physical","The audited Clovermon Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"LICKCLEAN","Lick Clean","Water","Physical","The audited Clovermon Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"SPEEDWEED","Speed Weed","Grass","Physical","The audited Clovermon Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"OVERBITE","Overbite","Dark","Physical","The audited Clovermon Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"1000FOLDS","1000 Folds","Steel","Physical","The audited Clovermon Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"WARHEAD","Warhead","Steel","Special","The audited Clovermon Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"WEIRDFLEX","Weird Flex","Fighting","Status","The audited Clovermon Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"HULKUP","Hulk Up","Fighting","Status","The audited Clovermon Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"FOCUSMUNCH","Focus Munch","Fighting","Status","The audited Clovermon Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"MOP","Mop","Fairy","Status","The audited Clovermon Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"QUICKSAND","Quick Sand","Ground","Physical","The audited Clovermon Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"THINKFAST","Think Fast","Psychic","Special","The audited Clovermon Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"BOLTBEAM","Boltbeam","Electric","Special","The audited Clovermon Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"CHECKEM","Check 'Em","Psychic","Special","The audited Clovermon Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"PIXIEPUMMEL","Pixie Pummel","Fairy","Physical","The audited Clovermon Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
"GAYAGENDA","Gay Agenda","Fairy","Status","The audited Clovermon Showdown repository is a battle-simulator mechanics source and contains no move-animation assets or per-move animation mappings.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, and anim returned no source evidence for these custom moves. No animation was guessed."
