"group_id","severity","provisional_ds_id","move_id","move_name","type","category","power","accuracy","pp","priority","effect_chance","move_flags","reason","recommendation"
"DUP-001","EXACT_DUPLICATE","1114","SWIFTSTRIKE","Swift Strike","Fighting","Physical","40","100","30","1 (+1 priority)","No separate chance field","Contact,CanProtect,CanMirrorMove","Same Fighting/Physical typing, 40 BP, 100 accuracy, 30 PP, +1 priority, contact, target, flags, and no secondary effect. Battle behavior is identical.","Keep one or redesign one before final approval."
"DUP-001","EXACT_DUPLICATE","1116","SHADOWSTEP","Shadow Step","Fighting","Physical","40","100","30","1 (+1 priority)","No separate chance field","Contact,CanProtect,CanMirrorMove","Same Fighting/Physical typing, 40 BP, 100 accuracy, 30 PP, +1 priority, contact, target, flags, and no secondary effect. Battle behavior is identical.","Keep one or redesign one before final approval."
"DUP-002","HIGH_OVERLAP","924","MOVE_SHOCKING_JAB","Shocking Jab","Electric","Physical","80","100","10","0 (normal priority)","20% when the listed secondary effect applies","physical-electric;horn;mid-power","Both are 80 BP / 100% / 10 PP Electric physical attacks whose only battle role is paralysis; they differ by 20% vs 10% chance and Horn vs Keen Edge synergy.","Keep both only if the ability-tag distinction is intentional and distribution supports it."
"DUP-002","HIGH_OVERLAP","925","MOVE_SHOCKING_EDGE","Shocking Edge","Electric","Physical","80","100","10","0 (normal priority)","10% when the listed secondary effect applies","physical-electric;keen-edge;mid-power","Both are 80 BP / 100% / 10 PP Electric physical attacks whose only battle role is paralysis; they differ by 20% vs 10% chance and Horn vs Keen Edge synergy.","Keep both only if the ability-tag distinction is intentional and distribution supports it."
"DUP-003","HIGH_OVERLAP","930","MOVE_AQUA_FANG","Aqua Fang","Water","Physical","85","100","15","0 (normal priority)","20% when the listed secondary effect applies","contact;strong-jaw;effect-chance-20","Both are Water physical contact attacks around 80–85 BP with a 20% flinch chance; primary distinction is Strong Jaw vs Horn synergy.","Keep both only if fang/horn distribution is intentionally different."
"DUP-003","HIGH_OVERLAP","959","MOVE_AQUA_BASH","Aqua Bash","Water","Physical","80","100","15","0 (normal priority)","20% when the listed secondary effect applies","contact;mirror-move-affected;horn;effect-chance-20","Both are Water physical contact attacks around 80–85 BP with a 20% flinch chance; primary distinction is Strong Jaw vs Horn synergy.","Keep both only if fang/horn distribution is intentionally different."
"DUP-004","HIGH_OVERLAP_FAMILY","935","MOVE_LOVELY_BITE","Lovely Bite","Fairy","Physical","85","100","15","0 (normal priority)","10% when the listed secondary effect applies","contact;mirror-move-affected;strong-jaw;effect-chance-10","All are Fairy physical attacks centered on infatuation; differences are BP/PP/chance and delivery tags (Strong Jaw, Iron Fist, Arrow, Hammer).","Review as one move family; retain only the delivery variants that fill real learnset niches."
"DUP-004","HIGH_OVERLAP_FAMILY","955","MOVE_CUTSIE_SLAP","Cutsie Slap","Fairy","Physical","85","100","10","0 (normal priority)","10% when the listed secondary effect applies","contact;mirror-move-affected;iron-fist;effect-chance-10","All are Fairy physical attacks centered on infatuation; differences are BP/PP/chance and delivery tags (Strong Jaw, Iron Fist, Arrow, Hammer).","Review as one move family; retain only the delivery variants that fill real learnset niches."
"DUP-004","HIGH_OVERLAP_FAMILY","961","MOVE_CUPID_SHOT","Cupid Shot","Fairy","Physical","75","100","10","0 (normal priority)","20% when the listed secondary effect applies","mirror-move-affected;arrow;effect-chance-20","All are Fairy physical attacks centered on infatuation; differences are BP/PP/chance and delivery tags (Strong Jaw, Iron Fist, Arrow, Hammer).","Review as one move family; retain only the delivery variants that fill real learnset niches."
"DUP-004","HIGH_OVERLAP_FAMILY","1010","MOVE_SQUEAKY_HAMMER","Squeaky Hammer","Fairy","Physical","80","100","15","0 (normal priority)","20% when the listed secondary effect applies","contact;mirror-move-affected;hammer;effect-chance-20","All are Fairy physical attacks centered on infatuation; differences are BP/PP/chance and delivery tags (Strong Jaw, Iron Fist, Arrow, Hammer).","Review as one move family; retain only the delivery variants that fill real learnset niches."
"DUP-005","HIGH_OVERLAP_FAMILY","946","MOVE_FROST_BRAND","Frost Brand","Ice","Physical","80","100","20","0 (normal priority)","10% when the listed secondary effect applies","contact;mirror-move-affected;keen-edge;effect-chance-10","All are Ice physical attacks with a frostbite chance. Frost Brand and Frost Bolt even share 80 BP / 100% / 20 PP, differing mainly by contact/tag and 10% vs 20% chance.","Review as one family; Frost Brand vs Frost Bolt is the closest collision."
"DUP-005","HIGH_OVERLAP_FAMILY","947","MOVE_FROST_BOLT","Frost Bolt","Ice","Physical","80","100","20","0 (normal priority)","20% when the listed secondary effect applies","mirror-move-affected;arrow;effect-chance-20","All are Ice physical attacks with a frostbite chance. Frost Brand and Frost Bolt even share 80 BP / 100% / 20 PP, differing mainly by contact/tag and 10% vs 20% chance.","Review as one family; Frost Brand vs Frost Bolt is the closest collision."
"DUP-005","HIGH_OVERLAP_FAMILY","1091","MOVE_CHILLER","Chiller","Ice","Physical","30","100","15","0 (normal priority)","10% when the listed secondary effect applies","mirror-move-affected;throwing;effect-chance-10","All are Ice physical attacks with a frostbite chance. Frost Brand and Frost Bolt even share 80 BP / 100% / 20 PP, differing mainly by contact/tag and 10% vs 20% chance.","Review as one family; Frost Brand vs Frost Bolt is the closest collision."
"DUP-006","SAME_EFFECT_DISTINCT","951","MOVE_KINETIC_BARRAGE","Kinetic Barrage","Psychic","Physical","90","100","20","0 (normal priority)","30% when the listed secondary effect applies","mirror-move-affected;mega-launcher;effect-chance-30","Both are Psychic physical confusion attacks, but their power/accuracy/effect-chance tradeoffs and Mega Launcher flag create distinct risk/reward profiles.","No duplicate removal required."
"DUP-006","SAME_EFFECT_DISTINCT","988","MOVE_MIND_BREAK","Mind Break","Psychic","Physical","110","90","10","0 (normal priority)","20% when the listed secondary effect applies","mirror-move-affected;effect-chance-20","Both are Psychic physical confusion attacks, but their power/accuracy/effect-chance tradeoffs and Mega Launcher flag create distinct risk/reward profiles.","No duplicate removal required."
"DUP-007","HIGH_OVERLAP","952","MOVE_FERTILE_FANGS","Fertile Fangs","Grass","Physical","80","100","20","0 (normal priority)","10% when the listed secondary effect applies","contact;mirror-move-affected;strong-jaw;effect-chance-10","Both are Grass physical attacks that can apply Leech Seed, with similar BP and different chance/tag tuning.","Keep both only if Strong Jaw vs Arrow distribution is a deliberate niche."
"DUP-007","HIGH_OVERLAP","957","MOVE_BRAMBLE_BLAST","Bramble Blast","Grass","Physical","85","100","10","0 (normal priority)","30% when the listed secondary effect applies","contact;mirror-move-affected;arrow;effect-chance-30","Both are Grass physical attacks that can apply Leech Seed, with similar BP and different chance/tag tuning.","Keep both only if Strong Jaw vs Arrow distribution is a deliberate niche."
"DUP-008","SAME_EFFECT_DISTINCT","967","MOVE_BLACK_MAGIC","Black Magic","Dark","Physical","90","100","10","0 (normal priority)","20% when the listed secondary effect applies","mirror-move-affected;mega-launcher;effect-chance-20","Both are Dark physical bleed attacks, but Devious Shot has higher bleed chance, crit/arrow traits and different accuracy behavior while Black Magic is stronger straightforward damage.","Distinct enough to keep."
"DUP-008","SAME_EFFECT_DISTINCT","980","MOVE_DEVIOUS_SHOT","Devious Shot","Dark","Physical","80","","15","0 (normal priority)","50% when the listed secondary effect applies","mirror-move-affected;arrow;effect-chance-50","Both are Dark physical bleed attacks, but Devious Shot has higher bleed chance, crit/arrow traits and different accuracy behavior while Black Magic is stronger straightforward damage.","Distinct enough to keep."
"DUP-009","HIGH_OVERLAP_FAMILY","968","MOVE_FLAME_TONGUE","Flame Tongue","Fire","Physical","80","100","10","0 (normal priority)","10% when the listed secondary effect applies","contact;mirror-move-affected;keen-edge;effect-chance-10","All are Fire physical attacks with burn as the secondary identity. Flame Tongue and Smolder Bash are especially close at 80 BP / 100% / 10% burn, separated mainly by blade vs horn tags and PP.","Review as one family; do not keep mechanically redundant delivery variants unless learnset tags matter."
"DUP-009","HIGH_OVERLAP_FAMILY","969","MOVE_BLAZING_ARROW","Blazing Arrow","Fire","Physical","80","100","10","0 (normal priority)","20% when the listed secondary effect applies","mirror-move-affected;arrow;effect-chance-20","All are Fire physical attacks with burn as the secondary identity. Flame Tongue and Smolder Bash are especially close at 80 BP / 100% / 10% burn, separated mainly by blade vs horn tags and PP.","Review as one family; do not keep mechanically redundant delivery variants unless learnset tags matter."
