"move_id","move_name","type","category","ds_animation_class","ds_animation_path","ds_move_id","port_action","notes"
"MOVE_SHOCKING_EDGE","Shocking Edge","Electric","Physical","direct hg-engine DS reuse assigned","animations/hg-engine/gen5/536.s","536","reuse existing hg-engine DS animation script as review baseline","Project-assigned DS analog MOVE_SACRED_SWORD (536) because of blade/slash attack. This is a reviewable baseline, not a claim that the source fangame used this animation; replace or customize during visual approval if needed."
"MOVE_LIGHTNING_STRIKE","Lightning Strike","Electric","Physical","direct hg-engine DS reuse assigned","animations/hg-engine/gen7/724.s","724","reuse existing hg-engine DS animation script as review baseline","Project-assigned DS analog MOVE_PLASMA_FISTS (724) because of Electric physical visual fit. This is a reviewable baseline, not a claim that the source fangame used this animation; replace or customize during visual approval if needed."
"MOVE_EXCALIBUR","Excalibur","Steel","Physical","direct hg-engine DS reuse assigned","animations/hg-engine/gen8/784.s","784","reuse existing hg-engine DS animation script as review baseline","Project-assigned DS analog MOVE_BEHEMOTH_BLADE (784) because of blade/slash attack. This is a reviewable baseline, not a claim that the source fangame used this animation; replace or customize during visual approval if needed."
"MOVE_AQUA_FANG","Aqua Fang","Water","Physical","direct hg-engine DS reuse assigned","animations/hg-engine/gen8/837.s","837","reuse existing hg-engine DS animation script as review baseline","Project-assigned DS analog MOVE_WAVE_CRASH (837) because of Water physical visual fit. This is a reviewable baseline, not a claim that the source fangame used this animation; replace or customize during visual approval if needed."
"MOVE_SEISMIC_FIST","Seismic Fist","Ground","Physical","direct hg-engine DS reuse assigned","animations/hg-engine/gen8/826.s","826","reuse existing hg-engine DS animation script as review baseline","Project-assigned DS analog MOVE_THUNDEROUS_KICK (826) because of close-range strike. This is a reviewable baseline, not a claim that the source fangame used this animation; replace or customize during visual approval if needed."
"MOVE_IRON_FANGS","Iron Fangs","Steel","Physical","direct hg-engine DS reuse assigned","animations/hg-engine/gen9/896.s","896","reuse existing hg-engine DS animation script as review baseline","Project-assigned DS analog MOVE_GIGATON_HAMMER (896) because of Steel physical visual fit. This is a reviewable baseline, not a claim that the source fangame used this animation; replace or customize during visual approval if needed."
"MOVE_SHADOW_FANGS","Shadow Fangs","Ghost","Physical","direct hg-engine DS reuse assigned","animations/hg-engine/gen9/892.s","892","reuse existing hg-engine DS animation script as review baseline","Project-assigned DS analog MOVE_RAGE_FIST (892) because of Ghost physical visual fit. This is a reviewable baseline, not a claim that the source fangame used this animation; replace or customize during visual approval if needed."
"MOVE_LOVELY_BITE","Lovely Bite","Fairy","Physical","direct hg-engine DS reuse assigned","animations/hg-engine/gen8/792.s","792","reuse existing hg-engine DS animation script as review baseline","Project-assigned DS analog MOVE_SPIRIT_BREAK (792) because of Fairy physical visual fit. This is a reviewable baseline, not a claim that the source fangame used this animation; replace or customize during visual approval if needed."
"MOVE_JAGGED_FANGS","Jagged Fangs","Rock","Physical","direct hg-engine DS reuse assigned","animations/hg-engine/gen9/913.s","913","reuse existing hg-engine DS animation script as review baseline","Project-assigned DS analog MOVE_MIGHTY_CLEAVE (913) because of Rock physical visual fit. This is a reviewable baseline, not a claim that the source fangame used this animation; replace or customize during visual approval if needed."
"MOVE_SCORCHED_EARTH","Scorched Earth","Fire","Special","direct hg-engine DS reuse assigned","animations/hg-engine/gen9/893.s","893","reuse existing hg-engine DS animation script as review baseline","Project-assigned DS analog MOVE_ARMOR_CANNON (893) because of Fire special visual fit. This is a reviewable baseline, not a claim that the source fangame used this animation; replace or customize during visual approval if needed."
"MOVE_PLASMA_PULSE","Plasma Pulse","Electric","Special","direct hg-engine DS reuse assigned","animations/hg-engine/gen8/808.s","808","reuse existing hg-engine DS animation script as review baseline","Project-assigned DS analog MOVE_TERRAIN_PULSE (808) because of wave/pulse attack. This is a reviewable baseline, not a claim that the source fangame used this animation; replace or customize during visual approval if needed."
"MOVE_PRIMAL_BEAM","Primal Beam","Dragon","Physical","direct hg-engine DS reuse assigned","animations/hg-engine/gen8/823.s","823","reuse existing hg-engine DS animation script as review baseline","Project-assigned DS analog MOVE_DRAGON_ENERGY (823) because of beam/projectile attack. This is a reviewable baseline, not a claim that the source fangame used this animation; replace or customize during visual approval if needed."
"MOVE_PIXIE_BEAM","Pixie Beam","Fairy","Special","direct hg-engine DS reuse assigned","animations/hg-engine/gen5/549.s","549","reuse existing hg-engine DS animation script as review baseline","Project-assigned DS analog MOVE_TECHNO_BLAST (549) because of beam/projectile attack. This is a reviewable baseline, not a claim that the source fangame used this animation; replace or customize during visual approval if needed."
"MOVE_PIXIE_SLASH","Pixie Slash","Fairy","Physical","direct hg-engine DS reuse assigned","animations/hg-engine/gen5/536.s","536","reuse existing hg-engine DS animation script as review baseline","Project-assigned DS analog MOVE_SACRED_SWORD (536) because of blade/slash attack. This is a reviewable baseline, not a claim that the source fangame used this animation; replace or customize during visual approval if needed."
"MOVE_SEISMIC_BLADE","Seismic Blade","Ground","Physical","direct hg-engine DS reuse assigned","animations/hg-engine/gen5/536.s","536","reuse existing hg-engine DS animation script as review baseline","Project-assigned DS analog MOVE_SACRED_SWORD (536) because of blade/slash attack. This is a reviewable baseline, not a claim that the source fangame used this animation; replace or customize during visual approval if needed."
"MOVE_MOUNTAIN_CHUNK","Mountain Chunk","Ground","Physical","direct hg-engine DS reuse assigned","animations/hg-engine/gen8/841.s","841","reuse existing hg-engine DS animation script as review baseline","Project-assigned DS analog MOVE_HEADLONG_RUSH (841) because of Ground physical visual fit. This is a reviewable baseline, not a claim that the source fangame used this animation; replace or customize during visual approval if needed."
"MOVE_ARCHER_SHOT","Archer Shot","Normal","Physical","direct hg-engine DS reuse assigned","animations/hg-engine/gen5/546.s","546","reuse existing hg-engine DS animation script as review baseline","Project-assigned DS analog MOVE_HEAD_CHARGE (546) because of Normal physical visual fit. This is a reviewable baseline, not a claim that the source fangame used this animation; replace or customize during visual approval if needed."
