"move_id","english_review_name","original_source_name","source_project","source_repo","source_commit","source_data_path","type","category","power","accuracy","pp","what_it_does","priority","target","contact","move_flags","effect_chance","status_effects","stat_changes","multi_hit_or_duration","recoil","drain_or_healing","switching_behavior","field_weather_terrain_behavior","source_description","source_uncertainty","mechanics_audit_status","audit_basis","animation_status","animation_reference","ds_animation_class","ds_animation_path","ds_move_id","port_action","animation_audit_notes","animation_manifest"
"MOVE_SMITE","Smite","Smite","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Electric","Physical","120","80","15","Attacks from above with strong electricity. 20% paralysis chance. Smack Down effect.","0 (normal priority)","One target","Yes","physical-electric;contact;anti-flying;high-power","20% when the listed secondary effect applies","","","","","","","","Attacks from above with strong electricity. 20% paralysis chance. Smack Down effect.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","custom animation evidence found","Elite-Redux/eliteredux-source@ef051069ed3509438d1c5de36eba9dee529bb0d2: src/battle_anim_new.c::sAnimCmdSmiteBeam","custom GBA animation evidence","","","recreate/convert for Nintendo DS","Source-certified custom animation symbol/path exists, but it is not DS-native.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_SHOCKING_JAB","Shocking Jab","Shocking Jab","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Electric","Physical","80","100","10","An electric jab strikes the foe. 20% paralysis chance. Mighty Horn boost.","0 (normal priority)","One target","No","physical-electric;horn;mid-power","20% when the listed secondary effect applies","","","","","","","","An electric jab strikes the foe. 20% paralysis chance. Mighty Horn boost.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","custom projectile evidence found","Elite-Redux/eliteredux-source@ef051069ed3509438d1c5de36eba9dee529bb0d2: src/battle_anim_effects_1.c::gShockingJabProjectileSpriteTemplate","custom GBA animation evidence","","","recreate/convert for Nintendo DS","Source-certified custom animation symbol/path exists, but it is not DS-native.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_SHOCKING_EDGE","Shocking Edge","Shocking Edge","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Electric","Physical","80","100","10","The foe is slashed with an electric blade. 10% paralyze chance. Keen Edge boost.","0 (normal priority)","One target","No","physical-electric;keen-edge;mid-power","10% when the listed secondary effect applies","","","","","","","","The foe is slashed with an electric blade. 10% paralyze chance. Keen Edge boost.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","no dedicated animation linkage source-certified in first sweep","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_LIGHTNING_STRIKE","Lightning Strike","Lightning Strike","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Electric","Physical","70","100","20","Deals 70 base-power physical Electric-type damage. It has a 20% chance to raise the user's Speed by 1 stage. The move is flagged for Mega Launcher-style synergy in Elite Redux.","0 (normal priority)","One target","No","physical-electric;speed-boost;arrow;mega-launcher","20% when the listed secondary effect applies","","20% chance: user Speed +1 stage","","","","","","Leaps, strikes with a lightning bolt. 20% chance to raise Speed. Mega Launcher boost.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","no dedicated animation linkage source-certified in first sweep","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_VOLT_BOLT","Volt Bolt","Volt Bolt","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Electric","Physical","70","100","20","Doubles damage if foe is paralyzed. Arrow move. Archer boost.","0 (normal priority)","One target","No","physical-electric;status-payoff;arrow","No separate chance field","","","","","","","","Doubles damage if foe is paralyzed. Arrow move. Archer boost.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","explicitly reuses an existing animation","MOVE_VOLT_TACKLE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_DEATHROLL","Deathroll","Deathroll","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Water","Physical","100","100","5","20% confusion chance. Strong Jaw boost. Ignores target's stat changes.","0 (normal priority)","One target","Yes","contact;ignores-stat-stages;mirror-move-affected;strong-jaw;effect-chance-20","20% when the listed secondary effect applies","","","","","","","","20% confusion chance. Strong Jaw boost. Ignores target's stat changes.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","explicitly reuses an existing animation","MOVE_CRUNCH","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_EXCALIBUR","Excalibur","Excalibur","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Steel","Physical","120","80","5","Double damage on Dragons. High critical ratio. Keen Edge boost.","0 (normal priority)","One target","Yes","contact;keen-edge;effect-chance-20","20% when the listed secondary effect applies","","","","","","","","Double damage on Dragons. High critical ratio. Keen Edge boost.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","animation linkage pending source-wide animation audit","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_AQUA_FANG","Aqua Fang","Aqua Fang","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Water","Physical","85","100","15","Bites with aquatic fangs. Has 20% flinch chance. Strong Jaw boost.","0 (normal priority)","One target","Yes","contact;strong-jaw;effect-chance-20","20% when the listed secondary effect applies","","","","","","","","Bites with aquatic fangs. Has 20% flinch chance. Strong Jaw boost.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","animation linkage pending source-wide animation audit","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_OUTBURST","Outburst","Outburst","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Normal","Special","250","100","5","The user explodes to inflict terrible damage even while fainting itself.","0 (normal priority)","All adjacent Pokémon","No","mirror-move-affected","No separate chance field","","","","","","","","The user explodes to inflict terrible damage even while fainting itself.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","explicitly reuses an existing animation","MOVE_EXPLOSION","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_SEISMIC_FIST","Seismic Fist","Seismic Fist","Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","MoveList.textproto","Ground","Physical","85","100","15","Throws a ground-breaking fist. 20% chance to drop the foe's Def.","0 (normal priority)","One target","Yes","contact;mirror-move-affected;iron-fist;effect-chance-20","20% when the listed secondary effect applies","","","","","","","","Throws a ground-breaking fist. 20% chance to drop the foe's Def.","","complete","Source-verified against Elite Redux MoveList.textproto at the pinned commit.","animation linkage pending source-wide animation audit","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest.","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
