"move_id","move_name","type","category","source_animation_evidence","ds_animation_class","ds_animation_path","port_action","notes"
"PLEGARIACALAMO","Plegaria Cálamo","Flying","Special","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"PUNZADABURBUJA","Púa Burbuja","Water","Physical","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"FLORALETEO","Floraleteo","Grass","Special","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"CUERNARDIENTE","Cuerno Ígneo","Fire","Physical","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"FERMENTACION","Fermentación","Poison","Special","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"PROTOPLUMA","Protopluma","Rock","Physical","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"PODERNINFA","Poder Ninfa","Fairy","Physical","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"PODERIGNIS","Poder Ignis","Fire","Special","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"PODERVOLTA","Poder Volta","Electric","Special","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
"PODERCIMEX","Poder Cimex","Bug","Physical","The audited xorgies/PokemonOpalo Armonia mirror exposes move-definition/mechanics data in JsonTransformer/txt/armonia/moves.txt, but no move-animation assets or per-move visual mapping data were found in the repository.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, PkmnAnimations, and Animations.rxdata returned no source evidence. The pinned Armonia moves.txt is a move-data table rather than an animation asset/mapping source. No animation was guessed."
