"preview_id","source_kind","ds_move_id","animation_reference","ds_animation_path","preview_mp4","preview_gif","render_status","representative_move_id","representative_move_name","usage_count","notes"
"anim_0003","platinum-base-move","3","MOVE_DOUBLE_SLAP","","docs/approval/previews/mp4/anim_0003.mp4","docs/approval/previews/gif/anim_0003.gif","pending","MOVE_FAIRY_SPHERES","Fairy Spheres","1","Capture the original Platinum/base-era DS move animation once and reuse the capture for every mapped community move."
"anim_0004","platinum-base-move","4","MOVE_COMET_PUNCH","","docs/approval/previews/mp4/anim_0004.mp4","docs/approval/previews/gif/anim_0004.gif","pending","MOVE_ROCKET_PUNCH","Rocket Shot","1","Capture the original Platinum/base-era DS move animation once and reuse the capture for every mapped community move."
"anim_0005","platinum-base-move","5","MOVE_MEGA_PUNCH","","docs/approval/previews/mp4/anim_0005.mp4","docs/approval/previews/gif/anim_0005.gif","pending","MOVE_ASTRAL_HAND","Astral Hand","2","Capture the original Platinum/base-era DS move animation once and reuse the capture for every mapped community move."
"anim_0015","platinum-base-move","15","MOVE_CUT","","docs/approval/previews/mp4/anim_0015.mp4","docs/approval/previews/gif/anim_0015.gif","pending","MOVE_DIAMOND_BLADE","Diamond Blade","1","Capture the original Platinum/base-era DS move animation once and reuse the capture for every mapped community move."
"anim_0025","platinum-base-move","25","MOVE_MEGA_KICK","","docs/approval/previews/mp4/anim_0025.mp4","docs/approval/previews/gif/anim_0025.gif","pending","MOVE_RUMBLE_KICK","Rumble Kick","1","Capture the original Platinum/base-era DS move animation once and reuse the capture for every mapped community move."
"anim_0026","platinum-base-move","26","MOVE_JUMP_KICK","","docs/approval/previews/mp4/anim_0026.mp4","docs/approval/previews/gif/anim_0026.gif","pending","MOVE_ZEPHYR_RUSH","Zephyr Rush","2","Capture the original Platinum/base-era DS move animation once and reuse the capture for every mapped community move."
"anim_0028","platinum-base-move","28","MOVE_SAND_ATTACK","","docs/approval/previews/mp4/anim_0028.mp4","docs/approval/previews/gif/anim_0028.gif","pending","MOVE_POCKET_SAND","Pocket Sand","1","Capture the original Platinum/base-era DS move animation once and reuse the capture for every mapped community move."
"anim_0030","platinum-base-move","30","MOVE_HORN_ATTACK","","docs/approval/previews/mp4/anim_0030.mp4","docs/approval/previews/gif/anim_0030.gif","pending","MOVE_JAGGED_HORNS","Jagged Horns","1","Capture the original Platinum/base-era DS move animation once and reuse the capture for every mapped community move."
"anim_0038","platinum-base-move","38","MOVE_DOUBLE_EDGE","","docs/approval/previews/mp4/anim_0038.mp4","docs/approval/previews/gif/anim_0038.gif","pending","MOVE_PSYCHOKINETIC_SLAM","Psychokinetic Slam","4","Capture the original Platinum/base-era DS move animation once and reuse the capture for every mapped community move."
"anim_0040","platinum-base-move","40","MOVE_POISON_STING","","docs/approval/previews/mp4/anim_0040.mp4","docs/approval/previews/gif/anim_0040.gif","pending","MOVE_BRAMBLE_BLAST","Bramble Blast","2","Capture the original Platinum/base-era DS move animation once and reuse the capture for every mapped community move."
"anim_0044","platinum-base-move","44","MOVE_BITE","","docs/approval/previews/mp4/anim_0044.mp4","docs/approval/previews/gif/anim_0044.gif","pending","MOVE_DRACONIC_FANGS","Draconic Fangs","1","Capture the original Platinum/base-era DS move animation once and reuse the capture for every mapped community move."
"anim_0047","platinum-base-move","47","MOVE_SING","","docs/approval/previews/mp4/anim_0047.mp4","docs/approval/previews/gif/anim_0047.gif","pending","MOVE_REQUIEM","Requiem","1","Capture the original Platinum/base-era DS move animation once and reuse the capture for every mapped community move."
