"move_id","move_name","type","category","source_animation_reference","ds_animation_class","ds_animation_path","ds_move_id","port_action","notes"
"MOVE_SMITE","Smite","Electric","Physical","Elite-Redux/eliteredux-source@ef051069ed3509438d1c5de36eba9dee529bb0d2: src/battle_anim_new.c::sAnimCmdSmiteBeam","custom GBA animation evidence","","","recreate/convert for Nintendo DS","Source-certified custom animation symbol/path exists, but it is not DS-native."
"MOVE_SHOCKING_JAB","Shocking Jab","Electric","Physical","Elite-Redux/eliteredux-source@ef051069ed3509438d1c5de36eba9dee529bb0d2: src/battle_anim_effects_1.c::gShockingJabProjectileSpriteTemplate","custom GBA animation evidence","","","recreate/convert for Nintendo DS","Source-certified custom animation symbol/path exists, but it is not DS-native."
"MOVE_SHOCKING_EDGE","Shocking Edge","Electric","Physical","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_LIGHTNING_STRIKE","Lightning Strike","Electric","Physical","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_VOLT_BOLT","Volt Bolt","Electric","Physical","MOVE_VOLT_TACKLE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_DEATHROLL","Deathroll","Water","Physical","MOVE_CRUNCH","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_EXCALIBUR","Excalibur","Steel","Physical","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_AQUA_FANG","Aqua Fang","Water","Physical","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_OUTBURST","Outburst","Normal","Special","MOVE_EXPLOSION","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_SEISMIC_FIST","Seismic Fist","Ground","Physical","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
