"move_id","move_name","type","category","source_animation_evidence","ds_animation_class","ds_animation_path","port_action","notes"
"VENAMSKISS","Venam's Kiss","Poison","Physical","No per-move animation mapping, animation asset, Animations.rxdata, or BattleAnimation implementation is present in the audited Rejuvenation Wiki Converter source.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","The source includes move mechanics in Outputs/DatabaseMoves.txt and RBFiles/movetext.rb. RBFiles/movetext.rb also contains a '# MOVE DUMMIES FOR ANIMATION COMPILATION' section for type-variant animation placeholders, but it does not map these custom Rejuvenation moves to reusable animations."
"GALESTRIKE","Gale Strike","Fighting","Physical","No per-move animation mapping, animation asset, Animations.rxdata, or BattleAnimation implementation is present in the audited Rejuvenation Wiki Converter source.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","The source includes move mechanics in Outputs/DatabaseMoves.txt and RBFiles/movetext.rb. RBFiles/movetext.rb also contains a '# MOVE DUMMIES FOR ANIMATION COMPILATION' section for type-variant animation placeholders, but it does not map these custom Rejuvenation moves to reusable animations."
"MULTIPULSE","Multipulse","Normal","Special","No per-move animation mapping, animation asset, Animations.rxdata, or BattleAnimation implementation is present in the audited Rejuvenation Wiki Converter source.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","The source includes move mechanics in Outputs/DatabaseMoves.txt and RBFiles/movetext.rb. RBFiles/movetext.rb also contains a '# MOVE DUMMIES FOR ANIMATION COMPILATION' section for type-variant animation placeholders, but it does not map these custom Rejuvenation moves to reusable animations."
"SPECTRALSCREAM","Spectral Scream","Ghost","Special","No per-move animation mapping, animation asset, Animations.rxdata, or BattleAnimation implementation is present in the audited Rejuvenation Wiki Converter source.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","The source includes move mechanics in Outputs/DatabaseMoves.txt and RBFiles/movetext.rb. RBFiles/movetext.rb also contains a '# MOVE DUMMIES FOR ANIMATION COMPILATION' section for type-variant animation placeholders, but it does not map these custom Rejuvenation moves to reusable animations."
"AQUABATICS","Aquabatics","Water","Status","No per-move animation mapping, animation asset, Animations.rxdata, or BattleAnimation implementation is present in the audited Rejuvenation Wiki Converter source.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","The source includes move mechanics in Outputs/DatabaseMoves.txt and RBFiles/movetext.rb. RBFiles/movetext.rb also contains a '# MOVE DUMMIES FOR ANIMATION COMPILATION' section for type-variant animation placeholders, but it does not map these custom Rejuvenation moves to reusable animations."
"BARBEDWEB","Barbed Web","Bug","Physical","No per-move animation mapping, animation asset, Animations.rxdata, or BattleAnimation implementation is present in the audited Rejuvenation Wiki Converter source.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","The source includes move mechanics in Outputs/DatabaseMoves.txt and RBFiles/movetext.rb. RBFiles/movetext.rb also contains a '# MOVE DUMMIES FOR ANIMATION COMPILATION' section for type-variant animation placeholders, but it does not map these custom Rejuvenation moves to reusable animations."
"COLDTRUTH","Cold Truth","Ice","Special","No per-move animation mapping, animation asset, Animations.rxdata, or BattleAnimation implementation is present in the audited Rejuvenation Wiki Converter source.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","The source includes move mechanics in Outputs/DatabaseMoves.txt and RBFiles/movetext.rb. RBFiles/movetext.rb also contains a '# MOVE DUMMIES FOR ANIMATION COMPILATION' section for type-variant animation placeholders, but it does not map these custom Rejuvenation moves to reusable animations."
"FEVERPITCH","Fever Pitch","Fire","Special","No per-move animation mapping, animation asset, Animations.rxdata, or BattleAnimation implementation is present in the audited Rejuvenation Wiki Converter source.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","The source includes move mechanics in Outputs/DatabaseMoves.txt and RBFiles/movetext.rb. RBFiles/movetext.rb also contains a '# MOVE DUMMIES FOR ANIMATION COMPILATION' section for type-variant animation placeholders, but it does not map these custom Rejuvenation moves to reusable animations."
"THUNDERRAID","Thunder Raid","Electric","Physical","No per-move animation mapping, animation asset, Animations.rxdata, or BattleAnimation implementation is present in the audited Rejuvenation Wiki Converter source.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","The source includes move mechanics in Outputs/DatabaseMoves.txt and RBFiles/movetext.rb. RBFiles/movetext.rb also contains a '# MOVE DUMMIES FOR ANIMATION COMPILATION' section for type-variant animation placeholders, but it does not map these custom Rejuvenation moves to reusable animations."
"UPROOT","Uproot","Grass","Special","No per-move animation mapping, animation asset, Animations.rxdata, or BattleAnimation implementation is present in the audited Rejuvenation Wiki Converter source.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","The source includes move mechanics in Outputs/DatabaseMoves.txt and RBFiles/movetext.rb. RBFiles/movetext.rb also contains a '# MOVE DUMMIES FOR ANIMATION COMPILATION' section for type-variant animation placeholders, but it does not map these custom Rejuvenation moves to reusable animations."
