"move_id","move_name","type","category","source_animation_evidence","ds_animation_class","ds_animation_path","port_action","notes"
"PRIMALSUN","Primal Sun","Fire","Status","No animation implementation or animation mapping is present in the audited PokeRover repository/PBS snapshot.","no source animation evidence","","choose an official DS animation analog or build/adapt a new DS animation during implementation","PokeRover contains PBS move definitions and utility/web data. Repository-wide searches found no Animations.rxdata or BattleAnimation source to certify Vanguard animation reuse."
"FROSTWALKER","Frost Walker","Ice","Physical","No animation implementation or animation mapping is present in the audited PokeRover repository/PBS snapshot.","no source animation evidence","","choose an official DS animation analog or build/adapt a new DS animation during implementation","PokeRover contains PBS move definitions and utility/web data. Repository-wide searches found no Animations.rxdata or BattleAnimation source to certify Vanguard animation reuse."
"WAVELASH","Wave Lash","Water","Physical","No animation implementation or animation mapping is present in the audited PokeRover repository/PBS snapshot.","no source animation evidence","","choose an official DS animation analog or build/adapt a new DS animation during implementation","PokeRover contains PBS move definitions and utility/web data. Repository-wide searches found no Animations.rxdata or BattleAnimation source to certify Vanguard animation reuse."
"FIRECRACKERS","Fire Crackers","Fire","Physical","No animation implementation or animation mapping is present in the audited PokeRover repository/PBS snapshot.","no source animation evidence","","choose an official DS animation analog or build/adapt a new DS animation during implementation","PokeRover contains PBS move definitions and utility/web data. Repository-wide searches found no Animations.rxdata or BattleAnimation source to certify Vanguard animation reuse."
"SWIFTSTRIKE","Swift Strike","Fighting","Physical","No animation implementation or animation mapping is present in the audited PokeRover repository/PBS snapshot.","no source animation evidence","","choose an official DS animation analog or build/adapt a new DS animation during implementation","PokeRover contains PBS move definitions and utility/web data. Repository-wide searches found no Animations.rxdata or BattleAnimation source to certify Vanguard animation reuse."
"FANGLEECH","Fang Leech","Dragon","Physical","No animation implementation or animation mapping is present in the audited PokeRover repository/PBS snapshot.","no source animation evidence","","choose an official DS animation analog or build/adapt a new DS animation during implementation","PokeRover contains PBS move definitions and utility/web data. Repository-wide searches found no Animations.rxdata or BattleAnimation source to certify Vanguard animation reuse."
"SHADOWSTEP","Shadow Step","Fighting","Physical","No animation implementation or animation mapping is present in the audited PokeRover repository/PBS snapshot.","no source animation evidence","","choose an official DS animation analog or build/adapt a new DS animation during implementation","PokeRover contains PBS move definitions and utility/web data. Repository-wide searches found no Animations.rxdata or BattleAnimation source to certify Vanguard animation reuse."
"DRUMBEAT","Drum Beat","Sound","Physical","No animation implementation or animation mapping is present in the audited PokeRover repository/PBS snapshot.","no source animation evidence","","choose an official DS animation analog or build/adapt a new DS animation during implementation","PokeRover contains PBS move definitions and utility/web data. Repository-wide searches found no Animations.rxdata or BattleAnimation source to certify Vanguard animation reuse."
"BEATDROP","Beat Drop","Sound","Physical","No animation implementation or animation mapping is present in the audited PokeRover repository/PBS snapshot.","no source animation evidence","","choose an official DS animation analog or build/adapt a new DS animation during implementation","PokeRover contains PBS move definitions and utility/web data. Repository-wide searches found no Animations.rxdata or BattleAnimation source to certify Vanguard animation reuse."
"BLAZINGBULL","Blazing Bull","Fire","Physical","No animation implementation or animation mapping is present in the audited PokeRover repository/PBS snapshot.","no source animation evidence","","choose an official DS animation analog or build/adapt a new DS animation during implementation","PokeRover contains PBS move definitions and utility/web data. Repository-wide searches found no Animations.rxdata or BattleAnimation source to certify Vanguard animation reuse."
"SURGINGBULL","Surging Bull","Water","Physical","No animation implementation or animation mapping is present in the audited PokeRover repository/PBS snapshot.","no source animation evidence","","choose an official DS animation analog or build/adapt a new DS animation during implementation","PokeRover contains PBS move definitions and utility/web data. Repository-wide searches found no Animations.rxdata or BattleAnimation source to certify Vanguard animation reuse."
"ENIGMATICDASH","Enigmatic Dash","Fairy","Physical","No animation implementation or animation mapping is present in the audited PokeRover repository/PBS snapshot.","no source animation evidence","","choose an official DS animation analog or build/adapt a new DS animation during implementation","PokeRover contains PBS move definitions and utility/web data. Repository-wide searches found no Animations.rxdata or BattleAnimation source to certify Vanguard animation reuse."
"BLAZINGSTAMPEDE","Blazing Stampede","Fire","Physical","No animation implementation or animation mapping is present in the audited PokeRover repository/PBS snapshot.","no source animation evidence","","choose an official DS animation analog or build/adapt a new DS animation during implementation","PokeRover contains PBS move definitions and utility/web data. Repository-wide searches found no Animations.rxdata or BattleAnimation source to certify Vanguard animation reuse."
"IRONBARB","Iron Barb","Steel","Physical","No animation implementation or animation mapping is present in the audited PokeRover repository/PBS snapshot.","no source animation evidence","","choose an official DS animation analog or build/adapt a new DS animation during implementation","PokeRover contains PBS move definitions and utility/web data. Repository-wide searches found no Animations.rxdata or BattleAnimation source to certify Vanguard animation reuse."
"KAOLINBASH","Kaolin Bash","Ground","Physical","No animation implementation or animation mapping is present in the audited PokeRover repository/PBS snapshot.","no source animation evidence","","choose an official DS animation analog or build/adapt a new DS animation during implementation","PokeRover contains PBS move definitions and utility/web data. Repository-wide searches found no Animations.rxdata or BattleAnimation source to certify Vanguard animation reuse."
"DIAMONDBREATH","Diamond Breath","Rock","Special","No animation implementation or animation mapping is present in the audited PokeRover repository/PBS snapshot.","no source animation evidence","","choose an official DS animation analog or build/adapt a new DS animation during implementation","PokeRover contains PBS move definitions and utility/web data. Repository-wide searches found no Animations.rxdata or BattleAnimation source to certify Vanguard animation reuse."
"SOVEREIGNEDGE","Sovereign Edge","Steel","Physical","No animation implementation or animation mapping is present in the audited PokeRover repository/PBS snapshot.","no source animation evidence","","choose an official DS animation analog or build/adapt a new DS animation during implementation","PokeRover contains PBS move definitions and utility/web data. Repository-wide searches found no Animations.rxdata or BattleAnimation source to certify Vanguard animation reuse."
"HEATEDREVUP","Heated Rev Up","Fire","Status","No animation implementation or animation mapping is present in the audited PokeRover repository/PBS snapshot.","no source animation evidence","","choose an official DS animation analog or build/adapt a new DS animation during implementation","PokeRover contains PBS move definitions and utility/web data. Repository-wide searches found no Animations.rxdata or BattleAnimation source to certify Vanguard animation reuse."
"NIGHTBOUQUET","Night Bouquet","Poison","Special","No animation implementation or animation mapping is present in the audited PokeRover repository/PBS snapshot.","no source animation evidence","","choose an official DS animation analog or build/adapt a new DS animation during implementation","PokeRover contains PBS move definitions and utility/web data. Repository-wide searches found no Animations.rxdata or BattleAnimation source to certify Vanguard animation reuse."
"TRIPLEWHIRLING","Triple Whirling","Psychic","Physical","No animation implementation or animation mapping is present in the audited PokeRover repository/PBS snapshot.","no source animation evidence","","choose an official DS animation analog or build/adapt a new DS animation during implementation","PokeRover contains PBS move definitions and utility/web data. Repository-wide searches found no Animations.rxdata or BattleAnimation source to certify Vanguard animation reuse."
"CODEPOWER","Code:Power","Poison","Physical","No animation implementation or animation mapping is present in the audited PokeRover repository/PBS snapshot.","no source animation evidence","","choose an official DS animation analog or build/adapt a new DS animation during implementation","PokeRover contains PBS move definitions and utility/web data. Repository-wide searches found no Animations.rxdata or BattleAnimation source to certify Vanguard animation reuse."
"CODEQUARANTINE","Code:Quarantine","Electric","Status","No animation implementation or animation mapping is present in the audited PokeRover repository/PBS snapshot.","no source animation evidence","","choose an official DS animation analog or build/adapt a new DS animation during implementation","PokeRover contains PBS move definitions and utility/web data. Repository-wide searches found no Animations.rxdata or BattleAnimation source to certify Vanguard animation reuse."
"CODE:INJECTION","Code:Injection","Psychic","Special","No animation implementation or animation mapping is present in the audited PokeRover repository/PBS snapshot.","no source animation evidence","","choose an official DS animation analog or build/adapt a new DS animation during implementation","PokeRover contains PBS move definitions and utility/web data. Repository-wide searches found no Animations.rxdata or BattleAnimation source to certify Vanguard animation reuse."
"DUNEGLIDER","Dune Glider","Ground","Physical","No animation implementation or animation mapping is present in the audited PokeRover repository/PBS snapshot.","no source animation evidence","","choose an official DS animation analog or build/adapt a new DS animation during implementation","PokeRover contains PBS move definitions and utility/web data. Repository-wide searches found no Animations.rxdata or BattleAnimation source to certify Vanguard animation reuse."
