"command","opcode_decimal","opcode_hex","implementation_function","implementation_path","dispatch_kind","hook_status","engine_note","source_commit"
"AddEntryHazardToQueue","257","0x101","btl_scr_cmd_101_addentryhazardtoqueue","src/battle/battle_script_commands.c","hg-engine new command table","source implementation","Converts the battler selector to a side and queues the requested hazard through BattleContext_AddEntryHazardToQueue.","398a3020943f1ae98987e5b12b73d9086bbba3ce"
"ChangeExecutionOrderPriority","246","0xF6","btl_scr_cmd_F6_changeexecutionorderpriority","src/battle/battle_script_commands.c","hg-engine new command table","source implementation","Used by After You and Quash; rejects already-acted targets and writes the requested forced execution-order flag.","398a3020943f1ae98987e5b12b73d9086bbba3ce"
"ChangeStatStage","51","0x33","btl_scr_cmd_33_statbuffchange","src/individual/btl_scr_cmd_33_statbuffchange.c","vanilla opcode replaced by hg-engine hook","hooks -> 080074B8","Central stat engine; decodes stage deltas and handles Simple, Contrary, cap/failure paths, and Defiant/Competitive trigger state.","398a3020943f1ae98987e5b12b73d9086bbba3ce"
"CheckCanActivateDefiantOrCompetitive","255","0xFF","btl_scr_cmd_FF_checkcanactivatedefiantorcompetitive","src/battle/battle_script_commands.c","hg-engine new command table","source implementation","Checks the pending Defiant/Competitive flag, HP and move/server state, then branches to the appropriate ability handler when its boosted stat is not capped.","398a3020943f1ae98987e5b12b73d9086bbba3ce"
"HandleMagicPowder","271","0x10F","btl_scr_cmd_10F_HandleMagicPowder","src/battle/battle_script_commands.c","hg-engine new command table","source implementation","If the defender is not Terastallized, changes it to pure Psychic and records magicPowderFlag.","398a3020943f1ae98987e5b12b73d9086bbba3ce"
"HandleSoak","270","0x10E","btl_scr_cmd_10E_HandleSoak","src/battle/battle_script_commands.c","hg-engine new command table","source implementation","If the defender is not Terastallized, changes it to pure Water and records soakFlag.","398a3020943f1ae98987e5b12b73d9086bbba3ce"
"SetMoveConditionFlag","277","0x115","btl_scr_cmd_115_setMoveConditionFlag","src/battle/battle_script_commands.c","hg-engine new command table","source implementation","Stores modern per-battler state for Powder, Laser Focus, Glaive Rush and Throat Chop; Laser Focus/Throat Chop use two-turn timers and Throat Chop does not reset an active timer.","398a3020943f1ae98987e5b12b73d9086bbba3ce"
"StrengthSapCalc","264","0x108","btl_scr_cmd_108_strengthsapcalc","src/battle/battle_script_commands.c","hg-engine new command table","source implementation","Calculates healing from the defender's current Attack after applying its stat-stage multiplier and writes the result into hp_calc_work.","398a3020943f1ae98987e5b12b73d9086bbba3ce"
"TryLightScreen","81","0x51","BattleScriptCmdTable[81]","base HGSS battle engine","vanilla BattleScriptCmdTable","no hg-engine replacement hook found","The collected Light Screen subscript depends on this original engine command. No replacement implementation or hook was found in the pinned hg-engine source.","398a3020943f1ae98987e5b12b73d9086bbba3ce"
"TryPartyStatusRefresh","98","0x62","BattleScriptCmdTable[98]","base HGSS battle engine","vanilla BattleScriptCmdTable","no hg-engine replacement hook found","Heal Bell/Aromatherapy rely on this original engine command. No replacement implementation or hook was found in the pinned hg-engine source.","398a3020943f1ae98987e5b12b73d9086bbba3ce"
