"move_id","move_name","type","category","source_animation_evidence","secondary_implementation_evidence","ds_animation_class","ds_animation_path","port_action","notes"
"CORALBREAK","Coral Break","Water","Special","The authoritative Uranium 1.3.1 PBS extraction contains move mechanics but no battle-animation database, assets, or per-move animation mapping.","","no source-certified DS animation mapping","","choose an existing Platinum/hg-engine animation analog or build/adapt a new DS animation during implementation","No animation was guessed or inferred from move type/name."
"ATOMICPUNCH","Atomic Punch","Nuclear","Physical","The authoritative Uranium 1.3.1 PBS extraction contains move mechanics but no battle-animation database, assets, or per-move animation mapping.","","no source-certified DS animation mapping","","choose an existing Platinum/hg-engine animation analog or build/adapt a new DS animation during implementation","No animation was guessed or inferred from move type/name."
"METALWHIP","Metal Whip","Steel","Physical","The authoritative Uranium 1.3.1 PBS extraction contains move mechanics but no battle-animation database, assets, or per-move animation mapping.","","no source-certified DS animation mapping","","choose an existing Platinum/hg-engine animation analog or build/adapt a new DS animation during implementation","No animation was guessed or inferred from move type/name."
"SHUFFLE","Shuffle","Normal","Special","The authoritative Uranium 1.3.1 PBS extraction contains move mechanics but no battle-animation database, assets, or per-move animation mapping.","","no source-certified DS animation mapping","","choose an existing Platinum/hg-engine animation analog or build/adapt a new DS animation during implementation","No animation was guessed or inferred from move type/name."
"NUCLEARWASTE","Nuclear Waste","Nuclear","Status","The authoritative Uranium 1.3.1 PBS extraction contains move mechanics but no battle-animation database, assets, or per-move animation mapping.","","no source-certified DS animation mapping","","choose an existing Platinum/hg-engine animation analog or build/adapt a new DS animation during implementation","No animation was guessed or inferred from move type/name."
"GAMMARAY","Gamma Ray","Nuclear","Special","The authoritative Uranium 1.3.1 PBS extraction contains move mechanics but no battle-animation database, assets, or per-move animation mapping.","","no source-certified DS animation mapping","","choose an existing Platinum/hg-engine animation analog or build/adapt a new DS animation during implementation","No animation was guessed or inferred from move type/name."
"RADIOACID","Radioacid","Nuclear","Special","The authoritative Uranium 1.3.1 PBS extraction contains move mechanics but no battle-animation database, assets, or per-move animation mapping.","","no source-certified DS animation mapping","","choose an existing Platinum/hg-engine animation analog or build/adapt a new DS animation during implementation","No animation was guessed or inferred from move type/name."
"SKYFALL","Sky Fall","Flying","Special","The authoritative Uranium 1.3.1 PBS extraction contains move mechanics but no battle-animation database, assets, or per-move animation mapping.","Project-Uranium-Godot@46776724aa60af7a08685912f335f0c50d1f33f5:Utilities/Battle/Database/Moves/Sky_Fall.gd — mechanics implementation exists, but no move-animation field/reference is defined.","no source-certified DS animation mapping","","choose an existing Platinum/hg-engine animation analog or build/adapt a new DS animation during implementation","A secondary open-source Godot reimplementation confirms mechanics for this move, but its move file does not supply a visual battle-animation mapping."
"FLAMEIMPACT","Flame Impact","Fire","Physical","The authoritative Uranium 1.3.1 PBS extraction contains move mechanics but no battle-animation database, assets, or per-move animation mapping.","Project-Uranium-Godot@46776724aa60af7a08685912f335f0c50d1f33f5:Utilities/Battle/Database/Moves/Flame_Impact.gd — mechanics implementation exists, but no move-animation field/reference is defined.","no source-certified DS animation mapping","","choose an existing Platinum/hg-engine animation analog or build/adapt a new DS animation during implementation","A secondary open-source Godot reimplementation confirms mechanics for this move, but its move file does not supply a visual battle-animation mapping."
"SUBDUCTION","Subduction","Ground","Physical","The authoritative Uranium 1.3.1 PBS extraction contains move mechanics but no battle-animation database, assets, or per-move animation mapping.","","no source-certified DS animation mapping","","choose an existing Platinum/hg-engine animation analog or build/adapt a new DS animation during implementation","No animation was guessed or inferred from move type/name."
"INSTANTCRUSH","Instant Crush","Psychic","Special","The authoritative Uranium 1.3.1 PBS extraction contains move mechanics but no battle-animation database, assets, or per-move animation mapping.","","no source-certified DS animation mapping","","choose an existing Platinum/hg-engine animation analog or build/adapt a new DS animation during implementation","No animation was guessed or inferred from move type/name."
"GETLUCKY","Get Lucky","Psychic","Special","The authoritative Uranium 1.3.1 PBS extraction contains move mechanics but no battle-animation database, assets, or per-move animation mapping.","","no source-certified DS animation mapping","","choose an existing Platinum/hg-engine animation analog or build/adapt a new DS animation during implementation","No animation was guessed or inferred from move type/name."
"LASERPULSE","Laser Pulse","Normal","Special","The authoritative Uranium 1.3.1 PBS extraction contains move mechanics but no battle-animation database, assets, or per-move animation mapping.","","no source-certified DS animation mapping","","choose an existing Platinum/hg-engine animation analog or build/adapt a new DS animation during implementation","No animation was guessed or inferred from move type/name."
"GEMSTONEGLIMMER","Gemstone Glimmer","Rock","Special","The authoritative Uranium 1.3.1 PBS extraction contains move mechanics but no battle-animation database, assets, or per-move animation mapping.","","no source-certified DS animation mapping","","choose an existing Platinum/hg-engine animation analog or build/adapt a new DS animation during implementation","No animation was guessed or inferred from move type/name."
"HALFLIFE","Half-life","Nuclear","Special","The authoritative Uranium 1.3.1 PBS extraction contains move mechanics but no battle-animation database, assets, or per-move animation mapping.","","no source-certified DS animation mapping","","choose an existing Platinum/hg-engine animation analog or build/adapt a new DS animation during implementation","No animation was guessed or inferred from move type/name."
"OCEANSWRATH","Ocean's Wrath","Water","Special","The authoritative Uranium 1.3.1 PBS extraction contains move mechanics but no battle-animation database, assets, or per-move animation mapping.","","no source-certified DS animation mapping","","choose an existing Platinum/hg-engine animation analog or build/adapt a new DS animation during implementation","No animation was guessed or inferred from move type/name."
"FISSIONBURST","Fission Burst","Nuclear","Physical","The authoritative Uranium 1.3.1 PBS extraction contains move mechanics but no battle-animation database, assets, or per-move animation mapping.","","no source-certified DS animation mapping","","choose an existing Platinum/hg-engine animation analog or build/adapt a new DS animation during implementation","No animation was guessed or inferred from move type/name."
"CAUSTICBREATH","Caustic Breath","Dragon","Special","The authoritative Uranium 1.3.1 PBS extraction contains move mechanics but no battle-animation database, assets, or per-move animation mapping.","","no source-certified DS animation mapping","","choose an existing Platinum/hg-engine animation analog or build/adapt a new DS animation during implementation","No animation was guessed or inferred from move type/name."
"NUCLEARSLASH","Nuclear Slash","Nuclear","Physical","The authoritative Uranium 1.3.1 PBS extraction contains move mechanics but no battle-animation database, assets, or per-move animation mapping.","","no source-certified DS animation mapping","","choose an existing Platinum/hg-engine animation analog or build/adapt a new DS animation during implementation","No animation was guessed or inferred from move type/name."
"THUNDERSTORM","Thunderstorm","Electric","Status","The authoritative Uranium 1.3.1 PBS extraction contains move mechanics but no battle-animation database, assets, or per-move animation mapping.","","no source-certified DS animation mapping","","choose an existing Platinum/hg-engine animation analog or build/adapt a new DS animation during implementation","No animation was guessed or inferred from move type/name."
"SUDDENSTRIKE","Sudden Strike","Dark","Physical","The authoritative Uranium 1.3.1 PBS extraction contains move mechanics but no battle-animation database, assets, or per-move animation mapping.","","no source-certified DS animation mapping","","choose an existing Platinum/hg-engine animation analog or build/adapt a new DS animation during implementation","No animation was guessed or inferred from move type/name."
"EXPUNGE","Expunge","Nuclear","Special","The authoritative Uranium 1.3.1 PBS extraction contains move mechanics but no battle-animation database, assets, or per-move animation mapping.","","no source-certified DS animation mapping","","choose an existing Platinum/hg-engine animation analog or build/adapt a new DS animation during implementation","No animation was guessed or inferred from move type/name."
"FALLOUT","Fallout","Nuclear","Status","The authoritative Uranium 1.3.1 PBS extraction contains move mechanics but no battle-animation database, assets, or per-move animation mapping.","","no source-certified DS animation mapping","","choose an existing Platinum/hg-engine animation analog or build/adapt a new DS animation during implementation","No animation was guessed or inferred from move type/name."
