"batch_id","count","id_start","id_end","blocked","defer_until_approved","unique_donor_visual_once_after_port","no_per_move_visual_donor_spot_check"
"BULK01","50","923","972","0","27","6","17"
"BULK02","50","973","1022","0","5","25","20"
"BULK03","50","1023","1072","0","1","14","35"
"BULK04","50","1073","1122","0","23","6","21"
"BULK05","50","1123","1172","2","48","0","0"
"BULK06","50","1173","1222","1","49","0","0"
"BULK07","50","1223","1272","0","50","0","0"
"BULK08","50","1273","1322","0","50","0","0"
"BULK09","50","1323","1372","1","42","7","0"
"BULK10","50","1373","1422","1","46","3","0"
"BULK11","19","1423","1441","0","19","0","0"
