"move_id","move_name","type","category","preview_id","preview_mp4","preview_gif","source_kind","ds_move_id","animation_reference","ds_animation_path","animation_class","source_manifest"
"1000FOLDS","1000 Folds","Steel","Physical","anim_0687","docs/approval/previews/mp4/anim_0687.mp4","docs/approval/previews/gif/anim_0687.gif","hg-engine-script","687","animations/hg-engine/gen7/687.s","animations/hg-engine/gen7/687.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"ABRAZOFEROZ","Abrazo Feroz","Dark","Physical","anim_0657","docs/approval/previews/mp4/anim_0657.mp4","docs/approval/previews/gif/anim_0657.gif","hg-engine-script","657","animations/hg-engine/gen7/657.s","animations/hg-engine/gen7/657.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"ABSORBESENCIA","Absorbesencia","Ghost","Physical","anim_0765","docs/approval/previews/mp4/anim_0765.mp4","docs/approval/previews/gif/anim_0765.gif","hg-engine-script","765","animations/hg-engine/gen8/765.s","animations/hg-engine/gen8/765.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"ACHILLESHEEL","Achilles Heel","Normal","Physical","anim_0763","docs/approval/previews/mp4/anim_0763.mp4","docs/approval/previews/gif/anim_0763.gif","hg-engine-script","763","animations/hg-engine/gen8/763.s","animations/hg-engine/gen8/763.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"AEROGENERADOR","Aerogenerador","Electric","Special","anim_0573","docs/approval/previews/mp4/anim_0573.mp4","docs/approval/previews/gif/anim_0573.gif","hg-engine-script","573","animations/hg-engine/gen6/573.s","animations/hg-engine/gen6/573.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"AGUANOCIVA","Aguas Nocivas","Water","Special","anim_0521","docs/approval/previews/mp4/anim_0521.mp4","docs/approval/previews/gif/anim_0521.gif","hg-engine-script","521","animations/hg-engine/gen5/521.s","animations/hg-engine/gen5/521.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"MOVE_AIRBORNE_SLAM","Airborne Slam","Normal","Physical","anim_0896","docs/approval/previews/mp4/anim_0896.mp4","docs/approval/previews/gif/anim_0896.gif","hg-engine-script","896","animations/hg-engine/gen9/896.s","animations/hg-engine/gen9/896.s","direct hg-engine DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"ALAFUNESTA","Ala Funesta","Flying","Special","anim_0616","docs/approval/previews/mp4/anim_0616.mp4","docs/approval/previews/gif/anim_0616.gif","hg-engine-script","616","animations/hg-engine/gen6/616.s","animations/hg-engine/gen6/616.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"ALPHASHOT","Alpha Shot","Normal","Special","anim_0549","docs/approval/previews/mp4/anim_0549.mp4","docs/approval/previews/gif/anim_0549.gif","hg-engine-script","549","animations/hg-engine/gen5/549.s","animations/hg-engine/gen5/549.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"ANATTACK","An Attack","???","Physical","anim_0881","docs/approval/previews/mp4/anim_0881.mp4","docs/approval/previews/gif/anim_0881.gif","hg-engine-script","881","animations/hg-engine/gen9/881.s","animations/hg-engine/gen9/881.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"ANCIENTROAR","Ancient Roar","Rock","Special","anim_0803","docs/approval/previews/mp4/anim_0803.mp4","docs/approval/previews/gif/anim_0803.gif","hg-engine-script","803","animations/hg-engine/gen8/803.s","animations/hg-engine/gen8/803.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"MOVE_AQUA_BASH","Aqua Bash","Water","Physical","anim_0401","docs/approval/previews/mp4/anim_0401.mp4","docs/approval/previews/gif/anim_0401.gif","platinum-base-move","401","MOVE_AQUA_TAIL","","direct Platinum/base-era DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_AQUA_FANG","Aqua Fang","Water","Physical","anim_0875","docs/approval/previews/mp4/anim_0875.mp4","docs/approval/previews/gif/anim_0875.gif","hg-engine-script","875","animations/hg-engine/gen9/875.s","animations/hg-engine/gen9/875.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"AQUABATICS","Aquabatics","Water","Status","anim_0490","docs/approval/previews/mp4/anim_0490.mp4","docs/approval/previews/gif/anim_0490.gif","hg-engine-script","490","animations/hg-engine/gen5/490.s","animations/hg-engine/gen5/490.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"MOVE_ARCHER_SHOT","Archer Shot","Normal","Physical","anim_0501","docs/approval/previews/mp4/anim_0501.mp4","docs/approval/previews/gif/anim_0501.gif","hg-engine-script","501","animations/hg-engine/gen5/501.s","animations/hg-engine/gen5/501.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"AGUIJONLETAL","Ardor Nocivo","Poison","Special","anim_0804","docs/approval/previews/mp4/anim_0804.mp4","docs/approval/previews/gif/anim_0804.gif","hg-engine-script","804","animations/hg-engine/gen8/804.s","animations/hg-engine/gen8/804.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"ARENAILUSORIA","Arena Ilusoria","Ground","Special","anim_0818","docs/approval/previews/mp4/anim_0818.mp4","docs/approval/previews/gif/anim_0818.gif","hg-engine-script","818","animations/hg-engine/gen8/818.s","animations/hg-engine/gen8/818.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"ARENITEWALL","Arenite Wall","Ground","Status","anim_0662","docs/approval/previews/mp4/anim_0662.mp4","docs/approval/previews/gif/anim_0662.gif","hg-engine-script","662","animations/hg-engine/gen7/662.s","animations/hg-engine/gen7/662.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"ARMAMENTSTRIKE","Armament Strike","Steel","Physical","anim_0716","docs/approval/previews/mp4/anim_0716.mp4","docs/approval/previews/gif/anim_0716.gif","hg-engine-script","716","animations/hg-engine/gen7/716.s","animations/hg-engine/gen7/716.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"MOVE_ASTEROID_DOWNFALL","Asteroid Shot","Rock","Physical","anim_0482","docs/approval/previews/mp4/anim_0482.mp4","docs/approval/previews/gif/anim_0482.gif","hg-engine-script","482","animations/hg-engine/gen5/482.s","animations/hg-engine/gen5/482.s","direct hg-engine DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_ASTRAL_HAND","Astral Hand","Psychic","Physical","anim_0005","docs/approval/previews/mp4/anim_0005.mp4","docs/approval/previews/gif/anim_0005.gif","platinum-base-move","5","MOVE_MEGA_PUNCH","","direct Platinum/base-era DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_ATOMIC_FIRE","Atomic Fire","Fire","Special","anim_0126","docs/approval/previews/mp4/anim_0126.mp4","docs/approval/previews/gif/anim_0126.gif","platinum-base-move","126","MOVE_FIRE_BLAST","","direct Platinum/base-era DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"ATOMICPUNCH","Atomic Punch","Nuclear","Physical","anim_0860","docs/approval/previews/mp4/anim_0860.mp4","docs/approval/previews/gif/anim_0860.gif","hg-engine-script","860","animations/hg-engine/gen9/860.s","animations/hg-engine/gen9/860.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"AUDIOBREAK","Audio Break","Sound","Physical","anim_0876","docs/approval/previews/mp4/anim_0876.mp4","docs/approval/previews/gif/anim_0876.gif","hg-engine-script","876","animations/hg-engine/gen9/876.s","animations/hg-engine/gen9/876.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"MOVE_AURA_FORCE","Aura Force","Fighting","Physical","anim_0396","docs/approval/previews/mp4/anim_0396.mp4","docs/approval/previews/gif/anim_0396.gif","platinum-base-move","396","MOVE_AURA_SPHERE","","direct Platinum/base-era DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_BAD_EGG","Bad Egg","Poison","Special","anim_0121","docs/approval/previews/mp4/anim_0121.mp4","docs/approval/previews/gif/anim_0121.gif","platinum-base-move","121","MOVE_EGG_BOMB","","direct Platinum/base-era DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_BALL_TOSS","Ball Toss","Normal","Physical","anim_0140","docs/approval/previews/mp4/anim_0140.mp4","docs/approval/previews/gif/anim_0140.gif","platinum-base-move","140","MOVE_BARRAGE","","direct Platinum/base-era DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"BANHAMMER","Ban Hammer","Normal","Physical","anim_0763","docs/approval/previews/mp4/anim_0763.mp4","docs/approval/previews/gif/anim_0763.gif","hg-engine-script","763","animations/hg-engine/gen8/763.s","animations/hg-engine/gen8/763.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"MOVE_BANISHED_POWER","Banished Power","Dark","Special","anim_0399","docs/approval/previews/mp4/anim_0399.mp4","docs/approval/previews/gif/anim_0399.gif","platinum-base-move","399","MOVE_DARK_PULSE","","direct Platinum/base-era DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"BARBEDWEB","Barbed Web","Bug","Physical","anim_0568","docs/approval/previews/mp4/anim_0568.mp4","docs/approval/previews/gif/anim_0568.gif","hg-engine-script","568","animations/hg-engine/gen6/568.s","animations/hg-engine/gen6/568.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"MOVE_BATTERING_RAM","Battering Ram","Dragon","Physical","anim_0896","docs/approval/previews/mp4/anim_0896.mp4","docs/approval/previews/gif/anim_0896.gif","hg-engine-script","896","animations/hg-engine/gen9/896.s","animations/hg-engine/gen9/896.s","direct hg-engine DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"BEATDROP","Beat Drop","Sound","Physical","anim_0589","docs/approval/previews/mp4/anim_0589.mp4","docs/approval/previews/gif/anim_0589.gif","hg-engine-script","589","animations/hg-engine/gen6/589.s","animations/hg-engine/gen6/589.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"MOVE_BEATDOWN","Beatdown","Dark","Physical","anim_0251","docs/approval/previews/mp4/anim_0251.mp4","docs/approval/previews/gif/anim_0251.gif","platinum-base-move","251","MOVE_BEAT_UP","","direct Platinum/base-era DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_BEETLE_BASH","Beetle Bash","Bug","Physical","anim_0896","docs/approval/previews/mp4/anim_0896.mp4","docs/approval/previews/gif/anim_0896.gif","hg-engine-script","896","animations/hg-engine/gen9/896.s","animations/hg-engine/gen9/896.s","direct hg-engine DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_BERRY_SMASH","Berry Smash","Grass","Physical","anim_0452","docs/approval/previews/mp4/anim_0452.mp4","docs/approval/previews/gif/anim_0452.gif","platinum-base-move","452","MOVE_WOOD_HAMMER","","direct Platinum/base-era DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_BERSERKER_HORN","Berserker Horn","Fighting","Physical","anim_0224","docs/approval/previews/mp4/anim_0224.mp4","docs/approval/previews/gif/anim_0224.gif","platinum-base-move","224","MOVE_MEGAHORN","","direct Platinum/base-era DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_BIG_BLAST","Big Bang","Normal","Special","anim_0063","docs/approval/previews/mp4/anim_0063.mp4","docs/approval/previews/gif/anim_0063.gif","platinum-base-move","63","MOVE_HYPER_BEAM","","direct Platinum/base-era DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"BITINGCOLD","Biting Cold","Ice","Status","anim_0884","docs/approval/previews/mp4/anim_0884.mp4","docs/approval/previews/gif/anim_0884.gif","hg-engine-script","884","animations/hg-engine/gen9/884.s","animations/hg-engine/gen9/884.s","provisional direct hg-engine DS reuse assigned","manifests/COMMUNITY_DS_ANIMATION_RESCUE_PASS_12.csv"
"MOVE_BLACK_MAGIC","Black Magic","Dark","Physical","anim_0399","docs/approval/previews/mp4/anim_0399.mp4","docs/approval/previews/gif/anim_0399.gif","platinum-base-move","399","MOVE_DARK_PULSE","","direct Platinum/base-era DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_BLAZING_ARROW","Blazing Arrow","Fire","Physical","anim_0683","docs/approval/previews/mp4/anim_0683.mp4","docs/approval/previews/gif/anim_0683.gif","hg-engine-script","683","animations/hg-engine/gen7/683.s","animations/hg-engine/gen7/683.s","direct hg-engine DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
"MOVE_BLAZING_BONE","Blazing Bone","Fire","Physical","anim_0711","docs/approval/previews/mp4/anim_0711.mp4","docs/approval/previews/gif/anim_0711.gif","hg-engine-script","711","animations/hg-engine/gen7/711.s","animations/hg-engine/gen7/711.s","direct hg-engine DS reuse","manifests/ELITE_REDUX_DS_ANIMATION_PASS_01.csv"
