"move_id","move_name","type","category","source_animation_evidence","ds_animation_class","ds_animation_path","port_action","notes"
"SLIMESHOT","Slime Shot","Ground","Special","Pinned Data/move2anim.dat directly maps SLIMESHOT to player-side animation ID 1149 and opponent-side animation ID 1150; the referenced animation records are stored in Data/PkmnAnimations.rxdata.","source-mapped cross-engine animation; not DS-native","source:Data/PkmnAnimations.rxdata#player=1149;opponent=1150","recreate/convert the mapped Pokémon Essentials (RGSS) battle animation for Platinum/hg-engine DS; preserve the source mapping as visual reference","Mapping semantics are source-certified by Data/Scripts/011_Battle/003_Scene/004_Scene_PlayAnimations.rb: move2anim[0] is player-side and move2anim[1] is opposing-side."
"ZEALOUSDANCE","Zealous Dance","Dragon","Special","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for ZEALOUSDANCE.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
"PSYSONIC","Psysonic","Psychic","Special","Pinned Data/move2anim.dat directly maps PSYSONIC to player-side animation ID 1159 and opponent-side animation ID 1160; the referenced animation records are stored in Data/PkmnAnimations.rxdata.","source-mapped cross-engine animation; not DS-native","source:Data/PkmnAnimations.rxdata#player=1159;opponent=1160","recreate/convert the mapped Pokémon Essentials (RGSS) battle animation for Platinum/hg-engine DS; preserve the source mapping as visual reference","Mapping semantics are source-certified by Data/Scripts/011_Battle/003_Scene/004_Scene_PlayAnimations.rb: move2anim[0] is player-side and move2anim[1] is opposing-side."
"PSYCRUSH","Psycrush","Psychic","Special","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for PSYCRUSH.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
"KINETICREND","Kinetic Rend","Psychic","Special","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for KINETICREND.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
"JOLTKICK","Jolt Kick","Electric","Physical","Pinned Data/move2anim.dat directly maps JOLTKICK to player-side animation ID 1156; the referenced animation records are stored in Data/PkmnAnimations.rxdata.","source-mapped cross-engine animation; not DS-native","source:Data/PkmnAnimations.rxdata#player=1156","recreate/convert the mapped Pokémon Essentials (RGSS) battle animation for Platinum/hg-engine DS; preserve the source mapping as visual reference","Mapping semantics are source-certified by Data/Scripts/011_Battle/003_Scene/004_Scene_PlayAnimations.rb: move2anim[0] is player-side and move2anim[1] is opposing-side."
"FROSTKICK","Frost Kick","Ice","Physical","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for FROSTKICK.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
"SCOURINGWINDS","Scouring Winds","Flying","Special","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for SCOURINGWINDS.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
"HAUNT","Haunt","Ghost","Physical","Pinned Data/move2anim.dat directly maps HAUNT to player-side animation ID 1154 and opponent-side animation ID 1155; the referenced animation records are stored in Data/PkmnAnimations.rxdata.","source-mapped cross-engine animation; not DS-native","source:Data/PkmnAnimations.rxdata#player=1154;opponent=1155","recreate/convert the mapped Pokémon Essentials (RGSS) battle animation for Platinum/hg-engine DS; preserve the source mapping as visual reference","Mapping semantics are source-certified by Data/Scripts/011_Battle/003_Scene/004_Scene_PlayAnimations.rb: move2anim[0] is player-side and move2anim[1] is opposing-side."
"BITINGCOLD","Biting Cold","Ice","Status","The Untamed source contains its battle-animation system and Data/PkmnAnimations.rxdata, but pinned Data/move2anim.dat has no direct player-side or opponent-side entry for BITINGCOLD.","no direct source move-animation mapping found","","choose a strong existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","No animation was guessed. This is distinct from projects with no animation system at all: Untamed has animation assets, but this move is not directly mapped in the pinned move2anim table."
