"source_project","repository","commit","engine","platform","license_status","copy_policy","notes"
"Pokemon Elite Redux","Elite-Redux/er-config","e32616fea6ccf5245096d8d7eeb54f0f5ac0b2a7","pokeemerald-derived / Elite Redux config","GBA","no repository license detected","index metadata/provenance only; do not copy source wholesale","All-Type Source Sweep 01 complete: 187 distinct non-vanilla moves cataloged across all 18 types; mechanics metadata imported and explicit uses_animation references recorded."
"Pokemon Elite Redux source","Elite-Redux/eliteredux-source","ef051069ed3509438d1c5de36eba9dee529bb0d2","pokeemerald-derived / Elite Redux","GBA","no repository license detected","index symbols/paths only unless reuse permission is confirmed","Used only to source-certify animation evidence such as Smite beam and Shocking Jab projectile."
"Benndot's HGengine ROM hack","B-Kiraly/Benndots-HGengine-ROMhack","65a7cff09b6f948d08a650c9470fb2f721a2d8f7","hg-engine","Nintendo DS","mixed/unclear at repository level","index candidate files until asset-level reuse status is clear","Initial DS-native sweep found extensive custom animation infrastructure but no clearly original physical-Electric move in the first search pass."
"Pokemon Vanguard via PokeRover","SEXYREXY-DEV/PokeRover","4919c813a9d1f3f1e1bed54189bf541d46fc7e8a","Pokemon Essentials PBS snapshot","PC fangame data / cross-engine reference","no repository license detected; Vanguard reuse permission not established","index metadata/provenance only; do not copy source assets without permission","PokeRover README states bundled PBS files are from Vanguard and current to Vanguard patch 3.0.16. All-Type Source Sweep 02 found 64 custom PBS sections / 63 unique designs after official filtering and Code:Power deduplication. Includes Vanguard custom Sound type."
"Pokemon Rejuvenation (via Rejuvenation Wiki Converter)","ThumsRipa/Rejuvenation-Wiki-Converter","05677bfc23298db5bbe484f731ec60c7fd801c5a","Rejuvenation custom Ruby/wiki database converter","PC fangame data","no repository license detected; Rejuvenation reuse permission not established","index metadata/provenance only; do not copy gameplay assets/code without permission","README states DatabaseMoves.txt contains all official and custom Rejuvenation moves. Sweep 03 imported 43 unique custom designs after filtering official main-series moves, generic Z-Moves, Orre Shadow moves, aliases/dummies, and existing catalog entries."
"Pokemon Reborn Episode 19.16 snapshot","Lycoris9/PokemonStarRail","655411b65ee3fc166c916b6f15c55a398d9daf01","Pokemon Essentials / Reborn E19.16 snapshot","PC fangame data","no repository license detected for redistribution","index metadata/provenance only; do not copy gameplay assets/code without permission","All-Type Source Sweep 04 audited 771 move records. Reborn README identifies Episode 19 Final v19.16 with Gen 7/USUM data. No original named move designs were found after official ID/name filtering; VICEGRIP was treated as a spelling alias of official Vise Grip. Added 0 moves."
"Pokemon Uranium 1.3.1 (via uranium-mining PBS)","eriedaberrie/uranium-mining","33e18f15c892e431f2d188363daba64bd51406b4","Pokemon Essentials-derived extracted PBS/reformatting project","PC fangame data / cross-engine reference","repository code is GPLv3, but README distinguishes pbs as select extracted game data; PBS reuse permission not established","index metadata/provenance only; do not copy extracted game data/assets without permission","README says data was extracted from Pokemon Uranium 1.3.1. Sweep 05 imported 30 unique custom move designs, including 12 Nuclear-type moves."
"Pokemon Insurgence (via Insurgence-Showdown)","Poilerwags/Insurgence-Showdown","72d72a7af4642d3c8391ab1118f0afbb2647020b","Pokemon Showdown fork / Insurgence battle simulator","Web battle simulator / cross-engine reference","MIT for simulator code; original Insurgence move-design reuse permission not established","simulator code may be referenced under MIT; preserve original move-design provenance and recreate assets separately","Sweep 06 directly diffed data/moves.ts against upstream Pokemon Showdown and imported 22 fork-specific move designs. Includes one custom Crystal-type move. No Nintendo DS animation assets are provided by this source."
"Pokemon Clover (via Clovermon Showdown)","Squeetz/clovermon-showdown","008196c839c1efe859e2d59c092c88370b7752d6","Pokemon Showdown fork / Clover battle simulator","Web battle simulator / cross-engine reference","MIT for simulator code; original Pokemon Clover move-design reuse permission not established","simulator code may be referenced under MIT; preserve original move-design provenance and recreate game assets separately","Sweep 07 directly diffed data/moves.ts against upstream Pokemon Showdown. Found 60 fork-specific designs; Inverse Room and Scorched Earth were already in the master catalog, so 58 new unique designs were imported. Includes 2 source-native ???-type moves."
"Pokemon Opalo (via xorgies/PokemonOpalo data mirror)","xorgies/PokemonOpalo","2133a2c0db1a0d8a78a6cc7090fddc62a0d0afeb","Pokemon Essentials-style text data / web conversion project","PC fangame data / cross-engine reference","no repository license detected; Pokemon Opalo data reuse permission not established","index metadata/provenance only; recreate mechanics/animations for DS","Sweep 08 audited JsonTransformer/txt/opalo/moves.txt. After filtering official/translated aliases and already-known official move equivalents, 30 new source-specific move designs were imported: 14 Physical, 15 Special, 1 Status. Source move names are Spanish and preserved source-faithfully.""Pokemon Sage (via Pokemon-Showdown-Sage fork)","SageFox/Pokemon-Showdown-Sage","f6757adccfc138272f10e738afdc36472387e646","legacy Pokemon Showdown fork","Web battle simulator / cross-engine reference","MIT for Showdown fork code; fork-specific move-design authorship/reuse permission not independently established","simulator mechanics may be referenced under MIT; preserve design provenance and recreate assets separately","Sweep 09 found one genuine fork-specific design after modern-upstream filtering: Magikarp's Revenge. Vice Grip was excluded as the legacy spelling of official Vise Grip. README is generic Showdown documentation, so the move is treated as Sage-associated fork evidence rather than independently official Sage data."

