"move_id","move_name","type","category","source_animation_evidence","ds_animation_class","ds_animation_path","port_action","notes"
"TIROTEO","Tiroteo","Dark","Physical","The audited xorgies/PokemonOpalo repository exposes move-definition data, but no move-animation assets or per-move visual mapping data were found for these custom moves.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, moveanimations, Animations.rxdata, and PkmnAnimations returned no source evidence for these custom moves. The pinned moves.txt records move mechanics/data only; no animation was guessed."
"ELECTROBABA","Electrobaba","Electric","Special","The audited xorgies/PokemonOpalo repository exposes move-definition data, but no move-animation assets or per-move visual mapping data were found for these custom moves.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, moveanimations, Animations.rxdata, and PkmnAnimations returned no source evidence for these custom moves. The pinned moves.txt records move mechanics/data only; no animation was guessed."
"FUEGOLUNAR","Fuego Lunar","Fire","Special","The audited xorgies/PokemonOpalo repository exposes move-definition data, but no move-animation assets or per-move visual mapping data were found for these custom moves.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, moveanimations, Animations.rxdata, and PkmnAnimations returned no source evidence for these custom moves. The pinned moves.txt records move mechanics/data only; no animation was guessed."
"ROMPEHIELOS","Rompehielos","Ice","Physical","The audited xorgies/PokemonOpalo repository exposes move-definition data, but no move-animation assets or per-move visual mapping data were found for these custom moves.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, moveanimations, Animations.rxdata, and PkmnAnimations returned no source evidence for these custom moves. The pinned moves.txt records move mechanics/data only; no animation was guessed."
"TRINCHAR","Trinchar","Steel","Physical","The audited xorgies/PokemonOpalo repository exposes move-definition data, but no move-animation assets or per-move visual mapping data were found for these custom moves.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, moveanimations, Animations.rxdata, and PkmnAnimations returned no source evidence for these custom moves. The pinned moves.txt records move mechanics/data only; no animation was guessed."
"DESBANDADA","Desbandada","Flying","Physical","The audited xorgies/PokemonOpalo repository exposes move-definition data, but no move-animation assets or per-move visual mapping data were found for these custom moves.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, moveanimations, Animations.rxdata, and PkmnAnimations returned no source evidence for these custom moves. The pinned moves.txt records move mechanics/data only; no animation was guessed."
"FIEBREORO","Fiebre del Oro","Dark","Status","The audited xorgies/PokemonOpalo repository exposes move-definition data, but no move-animation assets or per-move visual mapping data were found for these custom moves.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, moveanimations, Animations.rxdata, and PkmnAnimations returned no source evidence for these custom moves. The pinned moves.txt records move mechanics/data only; no animation was guessed."
"MALDIGNICION","Maldignición","Ghost","Special","The audited xorgies/PokemonOpalo repository exposes move-definition data, but no move-animation assets or per-move visual mapping data were found for these custom moves.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, moveanimations, Animations.rxdata, and PkmnAnimations returned no source evidence for these custom moves. The pinned moves.txt records move mechanics/data only; no animation was guessed."
"LIMPIASUENOS","Limpia Sueños","Fairy","Special","The audited xorgies/PokemonOpalo repository exposes move-definition data, but no move-animation assets or per-move visual mapping data were found for these custom moves.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, moveanimations, Animations.rxdata, and PkmnAnimations returned no source evidence for these custom moves. The pinned moves.txt records move mechanics/data only; no animation was guessed."
"ALAFUNESTA","Ala Funesta","Flying","Special","The audited xorgies/PokemonOpalo repository exposes move-definition data, but no move-animation assets or per-move visual mapping data were found for these custom moves.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, moveanimations, Animations.rxdata, and PkmnAnimations returned no source evidence for these custom moves. The pinned moves.txt records move mechanics/data only; no animation was guessed."
"FURIATOTEMICA","Furia Totémica","Ground","Special","The audited xorgies/PokemonOpalo repository exposes move-definition data, but no move-animation assets or per-move visual mapping data were found for these custom moves.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, moveanimations, Animations.rxdata, and PkmnAnimations returned no source evidence for these custom moves. The pinned moves.txt records move mechanics/data only; no animation was guessed."
"ZARZAS","Zarzas","Grass","Physical","The audited xorgies/PokemonOpalo repository exposes move-definition data, but no move-animation assets or per-move visual mapping data were found for these custom moves.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, moveanimations, Animations.rxdata, and PkmnAnimations returned no source evidence for these custom moves. The pinned moves.txt records move mechanics/data only; no animation was guessed."
"SOMBRATELA","Sombratela","Dark","Physical","The audited xorgies/PokemonOpalo repository exposes move-definition data, but no move-animation assets or per-move visual mapping data were found for these custom moves.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, moveanimations, Animations.rxdata, and PkmnAnimations returned no source evidence for these custom moves. The pinned moves.txt records move mechanics/data only; no animation was guessed."
"ABRAZOFEROZ","Abrazo Feroz","Dark","Physical","The audited xorgies/PokemonOpalo repository exposes move-definition data, but no move-animation assets or per-move visual mapping data were found for these custom moves.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, moveanimations, Animations.rxdata, and PkmnAnimations returned no source evidence for these custom moves. The pinned moves.txt records move mechanics/data only; no animation was guessed."
"GEOIMPACTO","Geoimpacto","Ground","Special","The audited xorgies/PokemonOpalo repository exposes move-definition data, but no move-animation assets or per-move visual mapping data were found for these custom moves.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, moveanimations, Animations.rxdata, and PkmnAnimations returned no source evidence for these custom moves. The pinned moves.txt records move mechanics/data only; no animation was guessed."
"PIPADELAPAZ","Pipa de la Paz","Psychic","Special","The audited xorgies/PokemonOpalo repository exposes move-definition data, but no move-animation assets or per-move visual mapping data were found for these custom moves.","no source animation evidence","","choose an existing Platinum/hg-engine DS animation analog or build/adapt a new DS animation during implementation","Repository-wide searches for animation, move animation, battle animation, anim, moveanimations, Animations.rxdata, and PkmnAnimations returned no source evidence for these custom moves. The pinned moves.txt records move mechanics/data only; no animation was guessed."
