"move_id","move_name","type","category","source_animation_reference","ds_animation_class","ds_animation_path","ds_move_id","port_action","notes"
"MOVE_SHOCKING_EDGE","Shocking Edge","Electric","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen7/719.s","719","Reuse Zing Zap (MOVE_ZING_ZAP) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Zing Zap. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_LIGHTNING_STRIKE","Lightning Strike","Electric","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen7/732.s","732","Reuse Zippy Zap (MOVE_ZIPPY_ZAP) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Zippy Zap. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_EXCALIBUR","Excalibur","Steel","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen8/784.s","784","Reuse Behemoth Blade (MOVE_BEHEMOTH_BLADE) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Behemoth Blade. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_AQUA_FANG","Aqua Fang","Water","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen9/875.s","875","Reuse Aqua Step (MOVE_AQUA_STEP) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Aqua Step. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_SEISMIC_FIST","Seismic Fist","Ground","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen8/841.s","841","Reuse Headlong Rush (MOVE_HEADLONG_RUSH) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Headlong Rush. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_IRON_FANGS","Iron Fangs","Steel","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen7/745.s","745","Reuse Double IronBash (MOVE_DOUBLE_IRON_BASH) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Double IronBash. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_SHADOW_FANGS","Shadow Fangs","Ghost","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen7/711.s","711","Reuse Shadow Bone (MOVE_SHADOW_BONE) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Shadow Bone. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_LOVELY_BITE","Lovely Bite","Fairy","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen6/586.s","586","Reuse Play Rough (MOVE_PLAY_ROUGH) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Play Rough. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_JAGGED_FANGS","Jagged Fangs","Rock","Physical","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen8/833.s","833","Reuse Stone Axe (MOVE_STONE_AXE) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Stone Axe. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
"MOVE_SCORCHED_EARTH","Scorched Earth","Fire","Special","","provisional direct hg-engine DS reuse assigned","animations/hg-engine/gen7/685.s","685","Reuse Burn Up (MOVE_BURN_UP) as the provisional DS animation; replace or customize during visual approval if needed.","Emergency rescue assignment. Analog: Burn Up. Confidence: high. Basis: move type/category plus name/effect/tag similarity. This is an assigned DS-native visual, not claimed as the source game's original animation."
