"group_id","classification","moves","reason","recommendation","decision"
"DUP-001","CONFIRMED_EXACT_DUPLICATE","1114 Swift Strike | 1116 Shadow Step","Pinned Vanguard/PokeRover records are identical: Fighting/Physical, 40 BP, 100 accuracy, 30 PP, +1 priority, same target, same contact/protect/mirror flags, FunctionCode None, and the exact same description.","Keep only one in final Mercury unless the other is deliberately redesigned.","APPROVED 2026-09-24: Keep Shadow Step (1116); reject Swift Strike (1114) from final Mercury move set."
"DUP-002","STRONG_ROLE_OVERLAP","1266 Wormhole | 1282 Think Fast","Both are Psychic/Special, 40 BP, 100 accuracy, +1 priority, single-target, non-contact, no secondary effect. The meaningful difference is PP: 30 vs 20.","Treat as duplicate for final selection unless one receives a distinct effect.","APPROVED 2026-09-24: Keep Wormhole (1266); reject Think Fast (1282) from final Mercury move set."
"DUP-003","STRONG_ROLE_OVERLAP","1226 Instant Crush | 1266 Wormhole | 1282 Think Fast","All three are Psychic/Special +1-priority attacks with no secondary effect. Instant Crush is 60 BP/15 PP while the other two are 40 BP variants.","Keep Instant Crush only if a stronger lower-PP priority tier is desired; do not keep both 40 BP clones unchanged.","APPROVED 2026-09-24: Keep Instant Crush (1226) and Wormhole (1266) as distinct priority tiers; Think Fast (1282) remains rejected per DUP-002."
"DUP-004","STRONG_ROLE_OVERLAP","1331 Stampede | 1416 Migration","Both are Flying/Physical contact attacks that damage one target and then switch the user out. Differences are numerical only: 75 BP/16 PP vs 60 BP/20 PP.","Choose one, or give one a distinct pivot condition/effect.","APPROVED 2026-09-24: Keep Migration (1416); reject Stampede (1331) from final Mercury move set."
"DUP-005","STRONG_ROLE_OVERLAP","1122 Blazing Stampede | 1203 Solar Flare","Both are Fire/Physical attacks with a 50% chance to raise the user's Attack by 1. Stats differ (90/100/15 vs 100/95/10) and contact differs, but battlefield role is nearly identical.","Keep both only if contact/non-contact and accuracy/power tradeoff are intentionally different niches; otherwise merge.",""
"DUP-006","STRONG_ROLE_OVERLAP","1208 Ethereal Tempest | 1223 Sky Fall","Both are Flying/Special attacks around 85-90 BP with 100 accuracy and a paralysis secondary. Chance differs 20% vs 30%; Sky Fall is contact.","Potential merge/redesign candidate because type, category, power band, and effect are highly redundant.",""
"DUP-007","STRONG_ROLE_OVERLAP","1115 Fang Leech | 1156 Mana Fangs","Both are Dragon/Physical contact draining attacks. Fang Leech is 35 BP with 50% drain; Mana Fangs is 60 BP with 75% drain.","Progression-tier overlap rather than exact duplicate. Keep both only if early/late-game distribution justifies two drain tiers.",""
"DUP-008","ROLE_OVERLAP_PLAIN_DAMAGE","1267 Zombie Strike | 1294 Elbow Drop","Both are Ghost/Physical contact attacks with no secondary effect. Stats differ: 90 BP/90 acc/15 PP vs 100 BP/100 acc/5 PP.","Acceptable only as a deliberate reliability/PP tradeoff; otherwise one is redundant.",""
"DUP-009","ROLE_OVERLAP_PLAIN_DAMAGE","1304 Fire Bomb | 1396 Fiery Horn","Both are Fire/Physical attacks with no secondary effect. Fire Bomb is 100 BP/95 acc/non-contact; Fiery Horn is 45 BP/100 acc/contact and horn-tagged.","Not an exact duplicate; likely valid as power-tier plus horn-synergy distinction.",""
"DUP-010","FLAG_VARIANT_NOT_DUPLICATE","930 Aqua Fang | 959 Aqua Bash","Both are Water/Physical with 20% flinch, but Aqua Fang is Strong Jaw/bite-tagged while Aqua Bash is horn-tagged and has different BP.","Keep: ability/archetype interaction is meaningfully different.",""
"DUP-011","FLAG_VARIANT_NOT_DUPLICATE","935 Lovely Bite | 955 Cutsie Slap","Both are Fairy/Physical, 85 BP, 100 accuracy, 10% infatuation, but one is Strong Jaw/bite-tagged and the other Iron Fist/punch-tagged.","Keep if move-tag synergies are part of Mercury's build diversity.",""
"DUP-012","FLAG_VARIANT_NOT_DUPLICATE","968 Flame Tongue | 1030 Smolder Bash","Both are Fire/Physical 80 BP with 10% burn, but Flame Tongue is blade/Keen Edge while Smolder Bash is horn-tagged; PP also differs.","Keep if blade and horn archetypes are intentionally supported.",""
"DUP-013","FLAG_VARIANT_NOT_DUPLICATE","961 Cupid Shot | 1010 Squeaky Hammer","Both are Fairy/Physical with a 20% infatuation chance, but Cupid Shot is a non-contact arrow while Squeaky Hammer is a contact hammer; BP/PP differ.","Keep: targeting/interaction tags create a distinct niche.",""
"DUP-014","NEAR_DUPLICATE_FLAG_VARIANT","1031 Beatdown | 1034 Relentless Clobber","Both are Dark/Physical, 25 BP, 100 accuracy, 20 PP, 2-5-hit contact moves. Relentless Clobber additionally carries the Hammer flag.","Very close duplicate. Keep both only if Hammer-specific interactions justify a separate move; otherwise merge.",""
"DUP-015","DISTINCT_TARGETING_VARIANT","1336 Totemic Fury | 1404 Illusory Sand","Both are Ground/Special with a 30% chance to inflict burn/paralysis/freeze, but Totemic Fury is stronger single-target while Illusory Sand is weaker/less accurate spread damage.","Keep: single-target versus spread targeting is a meaningful battle-role difference.",""
