"candidate_index","provisional_ds_id","batch_id","move_id","move_name","type","category","power","accuracy","pp","mechanics_audit_status","animation_class","animation_reference","visual_policy"
"1","923","BULK01","MOVE_SMITE","Smite","Electric","Physical","120","80","15","complete","custom GBA animation evidence","Elite-Redux/eliteredux-source@ef051069ed3509438d1c5de36eba9dee529bb0d2: src/battle_anim_new.c::sAnimCmdSmiteBeam","DEFER_VISUAL_UNTIL_APPROVED"
"2","924","BULK01","MOVE_SHOCKING_JAB","Shocking Jab","Electric","Physical","80","100","10","complete","custom GBA animation evidence","Elite-Redux/eliteredux-source@ef051069ed3509438d1c5de36eba9dee529bb0d2: src/battle_anim_effects_1.c::gShockingJabProjectileSpriteTemplate","DEFER_VISUAL_UNTIL_APPROVED"
"3","925","BULK01","MOVE_SHOCKING_EDGE","Shocking Edge","Electric","Physical","80","100","10","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"4","926","BULK01","MOVE_LIGHTNING_STRIKE","Lightning Strike","Electric","Physical","70","100","20","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"5","927","BULK01","MOVE_VOLT_BOLT","Volt Bolt","Electric","Physical","70","100","20","complete","direct Platinum/base-era DS reuse","MOVE_VOLT_TACKLE","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"6","928","BULK01","MOVE_DEATHROLL","Deathroll","Water","Physical","100","100","5","complete","direct Platinum/base-era DS reuse","MOVE_CRUNCH","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"7","929","BULK01","MOVE_EXCALIBUR","Excalibur","Steel","Physical","120","80","5","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"8","930","BULK01","MOVE_AQUA_FANG","Aqua Fang","Water","Physical","85","100","15","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"9","931","BULK01","MOVE_OUTBURST","Outburst","Normal","Special","250","100","5","complete","direct Platinum/base-era DS reuse","MOVE_EXPLOSION","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"10","932","BULK01","MOVE_SEISMIC_FIST","Seismic Fist","Ground","Physical","85","100","15","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"11","933","BULK01","MOVE_IRON_FANGS","Iron Fangs","Steel","Physical","85","100","15","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"12","934","BULK01","MOVE_SHADOW_FANGS","Shadow Fangs","Ghost","Physical","80","100","15","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"13","935","BULK01","MOVE_LOVELY_BITE","Lovely Bite","Fairy","Physical","85","100","15","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"14","936","BULK01","MOVE_JAGGED_FANGS","Jagged Fangs","Rock","Physical","80","100","15","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"15","937","BULK01","MOVE_SCORCHED_EARTH","Scorched Earth","Fire","Special","70","100","10","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"16","938","BULK01","MOVE_PLASMA_PULSE","Plasma Pulse","Electric","Special","65","100","10","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"17","939","BULK01","MOVE_PRIMAL_BEAM","Primal Beam","Dragon","Physical","90","100","10","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"18","940","BULK01","MOVE_DRACONIC_FANGS","Draconic Fangs","Dragon","Physical","85","100","15","complete","direct Platinum/base-era DS reuse","MOVE_BITE","NO_PER_MOVE_VISUAL_DONOR_SPOT_CHECK"
"19","941","BULK01","MOVE_PIXIE_BEAM","Pixie Beam","Fairy","Special","110","85","5","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"20","942","BULK01","MOVE_PIXIE_SLASH","Pixie Slash","Fairy","Physical","90","100","20","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"21","943","BULK01","MOVE_SEISMIC_BLADE","Seismic Blade","Ground","Physical","90","100","20","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"22","944","BULK01","MOVE_MOUNTAIN_CHUNK","Mountain Chunk","Ground","Physical","110","90","10","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"23","945","BULK01","MOVE_ARCHER_SHOT","Archer Shot","Normal","Physical","95","100","20","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
"24","946","BULK01","MOVE_FROST_BRAND","Frost Brand","Ice","Physical","80","100","20","complete","pending/no source animation linkage","","DEFER_VISUAL_UNTIL_APPROVED"
